Date,Close,High,Low,Open,Volume,Log_Return
1998-12-22,13.889657020568848,13.906036333093102,13.562070770083732,13.562070770083732,150300,
1998-12-23,14.22543716430664,15.093540986653506,13.987937061966464,14.04526467287616,44000,0.023887247735370824
1998-12-24,14.2008638381958,14.225432806773991,14.151725901039413,14.225432806773991,45500,-0.001728915220435093
1998-12-28,14.118967056274414,14.233622241186154,14.053449807753418,14.22543258512103,25400,-0.0057837216983053896
1998-12-29,14.430163383483888,14.446542683578649,13.61938802879325,14.127146331730822,123500,0.021801620474059466
1998-12-30,14.340078353881836,14.47111276488247,14.315509401819217,14.430164511444772,10200,-0.006262396043393709
1998-12-31,14.233617782592772,14.37284189208879,14.192669515093945,14.307324664090665,66300,-0.0074516830727781565
1999-01-04,14.118967056274414,14.462932611009636,14.012501527427796,14.348277426097896,50000,-0.008087541357887518
1999-01-05,14.22543716430664,14.29914409261911,14.159919894695555,14.200868188202485,27900,0.007512636918740497
1999-01-06,14.397409439086914,14.40559909178264,14.233616385172388,14.323702564825377,118500,0.012016578681471015
1999-01-07,14.233617782592772,14.290945357091132,14.12715228709582,14.290945357091132,43500,-0.01144167424232402
1999-01-08,14.17629051208496,14.24180774148801,13.955169862849669,14.233618087812628,63800,-0.0040357292055388915
1999-01-11,13.889657020568848,14.14353636469481,13.79957080168544,14.14353636469481,65400,-0.02042642296897875
1999-01-12,13.78318977355957,13.930603567929191,13.7586208078313,13.881465636472653,29400,-0.007694746631613835
1999-01-13,13.807753562927246,13.881460432480235,13.390081302126957,13.390081302126957,73800,0.0017805694831029713
1999-01-14,13.545683860778809,13.799563062522546,13.357321872388294,13.75042515250763,30800,-0.01916232444620593
1999-01-15,13.693098068237305,13.74223597996543,13.537494681098243,13.660339460418555,39000,0.010823952926294324
1999-01-19,13.537497520446776,13.799566437962987,13.447411330050578,13.799566437962987,39200,-0.011428486084058682
1999-01-20,13.578449249267578,13.725863052938758,13.512932003191498,13.619397528065129,480500,0.003020492723593418
1999-01-21,13.37370491027832,13.594825567092474,13.291808370717522,13.521118681487756,42500,-0.015193462933102104
1999-01-22,13.308185577392578,13.455599325326771,13.218099398099458,13.291806272066555,75700,-0.0049111560971920876
1999-01-25,13.27542781829834,13.357324350181736,13.160772673661588,13.308186431051698,179000,-0.002464508882746285
1999-01-26,13.58663558959961,13.58663558959961,13.259049439157184,13.283618400440366,85000,0.02317183838704811
1999-01-27,13.766806602478027,13.848703131939528,13.67672042007038,13.71766868480113,50400,0.013173743713261458
1999-01-28,14.01250171661377,14.045260341316547,13.766812031342925,13.783191343694314,57300,0.01768953482803143
1999-01-29,14.045257568359377,14.143533423065096,13.856895513506744,14.053447222918184,167800,0.002334888277726004
1999-02-01,13.987934112548828,14.192675536912832,13.979744455574266,14.143537595065473,57200,-0.00408969027574832
1999-02-02,14.102584838867188,14.102584838867188,13.906033133795868,14.037067603843411,81800,0.008162993582052271
1999-02-03,14.05344581604004,14.102583738473744,13.914221702477873,14.037066508562138,65300,-0.003490482967555279
1999-02-04,13.987934112548828,14.10258931019267,13.922416856752346,13.996123769523388,34400,-0.004672510614496889
1999-02-05,13.774996757507324,13.98792774186832,13.75861745101802,13.98792774186832,33000,-0.015339989256854945
1999-02-08,13.75042724609375,13.824134122338446,13.63577210526867,13.742237593177672,83500,-0.0017852235762587558
1999-02-09,13.504741668701172,13.717672707746797,13.480172702657446,13.717672707746797,44500,-0.01802903757850879
1999-02-10,13.603018760681152,13.603018760681152,13.43103598285195,13.570260136332733,32000,0.007250877313450549
1999-02-11,13.832331657409668,13.840521314992506,13.611210902673102,13.652159190587282,22400,0.01671698983108987
1999-02-12,13.717668533325195,13.897840896150958,13.619392699056595,13.856892631872377,29600,-0.00832404975477194
1999-02-16,13.881464958190918,13.979740816302003,13.840516683977963,13.889654613033509,37700,0.011869818163192896
1999-02-17,13.742239952087402,14.004308890387042,13.643964100225038,13.873274421237223,26800,-0.010080196370879825
1999-02-18,13.889657020568848,13.930605301879488,13.766812176636927,13.791381145423312,29400,0.010670166241150737
1999-02-19,13.832331657409668,13.955176521152206,13.807762684661162,13.865090287741012,30300,-0.0041357382786919115
1999-02-22,14.127157211303713,14.21724343120188,13.848708895254829,13.889657177026722,183700,0.021090262656647662
1999-02-23,14.102584838867188,14.233619308914731,14.037067603843411,14.143533110757046,35400,-0.0017408858075129985
1999-02-24,14.020687103271484,14.290945674771462,13.938790566453312,14.20085948427147,69000,-0.005824213290092112
1999-02-25,13.85689926147461,13.955175142761664,13.668537155674422,13.881468231796372,28100,-0.011750638973384388
1999-02-26,13.897846221923828,13.93879450189414,13.742242758036644,13.824139317977268,15100,0.0029506298432076085
1999-03-01,13.832331657409668,13.897848918072356,13.709486793667132,13.84871097257534,17500,-0.0047251544288656406
1999-03-02,13.791378021240234,13.99611938141304,13.766809058019495,13.906033182937009,29700,-0.0029651098024696615
1999-03-03,13.791378021240234,13.84870560208862,13.652153896322726,13.84870560208862,32000,0.0
1999-03-04,13.979744911193848,14.004313882918265,13.74224485119114,13.815951766364394,85300,0.013565874106886616
1999-03-05,14.192673683166504,14.274570242215358,13.987932285544366,13.987932285544366,49100,0.015116403716860505
1999-03-08,14.25819492340088,14.25819492340088,14.061643126639463,14.22543629060731,30700,0.004605930101766936
1999-03-09,14.27456283569336,14.35645935224926,14.15171806085951,14.27456283569336,23300,0.0011473068412185894
1999-03-10,14.118967056274414,14.217242929055905,14.069829119883666,14.217242929055905,32600,-0.010960055868940806
1999-03-11,14.25819492340088,14.356470821781588,14.159919025020171,14.22543629060731,55700,0.00981274902772228
1999-03-12,14.381038665771484,14.45474558376234,14.28276277511701,14.389228323326025,48100,0.008578755809099736
1999-03-15,14.503877639770508,14.61034314474906,14.413791443250192,14.46292936862491,246400,0.0085054575365058
1999-03-16,14.5693941116333,14.65129064964136,14.520256188828467,14.528445842629274,63700,0.004506997583630972
1999-03-17,14.323702812194824,14.561202744472496,14.315513159357662,14.561202744472496,40900,-0.01700733031333024
1999-03-18,14.5693941116333,14.569394111633304,14.266376921003491,14.266376921003491,22300,0.017007330313330328
1999-03-19,14.504871368408203,14.660749510942,14.390013789699088,14.660749510942,174200,-0.004438485243591502
1999-03-22,14.496668815612791,14.504872929260564,14.324382429009583,14.43103590643062,93400,-0.0005656632690596584
1999-03-23,14.08647346496582,14.431046490899757,13.922391071663949,14.33259705491863,91600,-0.028703877970698403
1999-03-24,14.078261375427246,14.102873720489184,13.914179075014342,13.963403765138214,46700,-0.0005831469614629237
1999-03-25,14.18491268157959,14.275157932879402,14.053646861507136,14.209525022843176,46000,0.007547051308322492
1999-03-26,14.135693550109863,14.168510018014937,14.02083591244211,14.05365238034718,20400,-0.003475856457364508
1999-03-29,14.31618595123291,14.42283948554009,14.275165361114764,14.275165361114764,18200,0.012687725771459596
1999-03-30,14.193116188049316,14.250544981873793,14.029033919979382,14.029033919979382,45800,-0.008633710292837507
1999-03-31,13.881369590759276,14.299779667076493,13.864961352472328,14.299779667076493,45800,-0.022209447679546288
1999-04-01,13.90598487854004,14.029046691624464,13.848556032433972,14.029046691624464,38500,0.001771690374244013
1999-04-05,13.979812622070312,14.045445545178625,13.93058792973908,14.045445545178625,32900,0.005295019159652605
1999-04-06,13.823941230773926,13.979819499844966,13.725491797676426,13.873165947322676,136600,-0.011212372623889872
1999-04-07,13.80753231048584,13.938798214804184,13.725491120286874,13.938798214804184,77800,-0.0011876979483188155
1999-04-08,14.127481460571287,14.160297909957054,13.832133416099415,13.832133416099415,49100,0.022907677369092834
1999-04-09,14.160304069519045,14.24234522867037,13.988017635301256,14.160304069519045,61000,0.0023206216437667263
1999-04-12,14.398221015930176,14.463853932242108,14.176709923377404,14.176709923377404,28400,0.016662096518681935
1999-04-13,14.447442054748535,14.52948317942059,14.275155692937226,14.504870842018974,70200,0.0034127200660608037
1999-04-14,14.012640953063965,14.439255314632655,13.955212096698949,14.439255314632655,38700,-0.03055753101349886
1999-04-15,13.668055534362791,14.053648937793197,13.520381464963917,14.053648937793197,292300,-0.0248984501039969
1999-04-16,13.725489616394045,13.73369373451502,13.58601960833744,13.73369373451502,16800,0.0041932627465779025
1999-04-19,13.151200294494627,13.750100869353089,13.126587942103184,13.659855577251127,71700,-0.04274162847878131
1999-04-20,13.397321701049805,13.51217932739071,13.19221879686962,13.290668190876108,29400,0.018541782317451152
1999-04-21,13.823941230773926,13.922390663871424,13.44655173723351,13.520388812056634,92900,0.03134714688296433
1999-04-22,13.99621868133545,13.99621868133545,13.807524056675009,13.815728170790678,29700,0.012385238136364387
1999-04-23,13.971613883972168,14.029042713794718,13.856756224327064,14.004430358156482,16600,-0.0017595073664424745
1999-04-26,13.873160362243652,13.979813871829204,13.774710968780068,13.979813871829204,51800,-0.007071627239317492
1999-04-27,13.88957405090332,14.07006467649096,13.889574050903322,14.029044079766496,39800,0.0011824260771857494
1999-04-28,13.68447208404541,13.947003922588248,13.4383484854115,13.799329763407902,110200,-0.01487672491384632
1999-04-29,13.577811241149902,13.70907709000694,13.520382432274946,13.70907709000694,27100,-0.007824831533127656
1999-04-30,13.397321701049805,13.635241069898823,13.290668190876108,13.602424605229992,34700,-0.013382120043780569
1999-05-03,13.709077835083008,13.709077835083008,13.438342007101117,13.520383167095629,46900,0.023003415177114295
1999-05-04,13.59422206878662,13.815733231042046,13.512180897580908,13.78291676255976,91200,-0.008413374515475708
1999-05-05,13.725489616394045,13.725489616394045,13.38091665531302,13.618836080821346,23500,0.009609805499691537
1999-05-06,13.544991493225098,13.782910786564605,13.512175038971373,13.766502559437743,28100,-0.013237812586082847
1999-05-07,13.659849166870115,13.758298530234947,13.520379235436607,13.544991576277816,31900,0.008443964626034448
1999-05-10,13.446550369262695,13.651653334016553,13.421938013492234,13.651653334016553,125400,-0.015738217094904316
1999-05-11,13.50397491455078,13.65164900231622,13.405525522707157,13.405525522707157,59800,0.004261485190884206
1999-05-12,13.700875282287598,13.750099983900608,13.479364125029056,13.49577235890006,38300,0.014475639790461455
1999-05-13,13.76650333404541,13.81572801819575,13.651645737694617,13.782911562095524,173300,0.004778626862117539
1999-05-14,13.520386695861816,13.668060822394288,13.397324923751423,13.512182577721124,41600,-0.01803967490271776
1999-05-17,13.61063003540039,13.63524238627815,13.389118877500566,13.413731228378325,36800,0.006652435715283447
1999-05-18,13.430137634277344,14.160303944265545,13.315280012481448,13.610628182813752,95500,-0.013349848932535782
1999-05-19,13.618833541870115,13.643445891644582,13.454751210040357,13.495771792997797,59400,0.013952395265822289
1999-05-20,13.651649475097656,13.741894754079674,13.577812428657824,13.577812428657824,150600,0.0024067009775258093
1999-05-21,13.61063003540039,13.709079438911424,13.512180631889358,13.627038269318897,78100,-0.0030092473108125598
1999-05-24,13.257851600646973,13.676261521211943,13.257851600646973,13.528587431600778,20100,-0.026261157122467987
1999-05-25,13.126583099365234,13.41372710466385,13.126583099365236,13.298869502544404,33500,-0.009950532265013365
1999-05-26,13.126583099365234,13.257848930358888,13.052746069431306,13.24144070148468,67600,0.0
1999-05-27,13.060955047607422,13.266057984912813,13.003526225161911,13.011730342654126,24400,-0.005012169435774688
1999-05-28,13.257851600646973,13.339892761542066,13.126585743214823,13.1922186719309,16500,0.014962701700787914
1999-06-01,13.30707836151123,13.323486596235655,13.101975427455878,13.282466009424589,36700,0.0037061507243398573
1999-06-02,13.101974487304688,13.298873289869066,13.101974487304688,13.167607421492812,65200,-0.015533158216794232
1999-06-03,13.225038528442385,13.372712655931194,13.12658911011651,13.12658911011651,40600,0.00934894797280794
1999-06-04,13.68447208404541,13.684472084045412,13.225041366595445,13.225041366595445,17400,0.034149874456616436
1999-06-07,13.569608688354492,13.7090786688273,13.528588105862488,13.7090786688273,28400,-0.00842912859460349
1999-06-08,13.38091278076172,13.561403327160711,13.30707573905304,13.43834159097958,77100,-0.014003364744814515
1999-06-09,13.30707836151123,13.479364826117726,13.257853657337945,13.364507183046728,18400,-0.0055331708732122035
1999-06-10,13.060955047607422,13.249649749928382,13.028138577638558,13.126587987545149,71200,-0.018668852425127832
1999-06-11,12.929685592651367,13.290666662496964,12.929685592651367,13.25785020160191,20400,-0.010101372488208731
1999-06-14,12.970712661743164,13.044549735718933,12.896875587767395,12.9378961844206,32300,0.0031680673789918996
1999-06-15,13.003520011901855,13.126581715484525,12.954295330468788,12.995315898329675,25600,0.002526147202680092
1999-06-16,13.101974487304688,13.142995071172264,12.97891273570195,13.126586837625236,46300,0.007542852114870186
1999-06-17,13.208620071411133,13.32347763724949,13.060946058190384,13.060946058190384,26300,0.008106709099170028
1999-06-18,13.203688621520996,13.261346650435936,13.080135702417556,13.228399205341685,33600,-0.00037342058998132525
1999-06-21,13.055424690246582,13.187214466299546,12.907161192187,13.187214466299546,35900,-0.01129249910830944
1999-06-22,13.12954807281494,13.178969207342476,13.030705803759872,13.030705803759872,85400,0.005661535815112404
1999-06-23,12.989523887634276,13.12131360367876,12.923629029612036,12.973050173128716,17400,-0.01072209049842578
1999-06-24,12.948346138000488,13.129557089041208,12.91539869235672,12.940109276589546,23000,-0.003175109150205328
1999-06-25,12.940110206604004,13.178979204688993,12.865978448577629,13.14603175667727,149300,-0.0006362628628529197
1999-06-28,12.948346138000488,13.632005635108657,12.923635553767662,13.09660964339744,21200,0.0006362628628530059
1999-06-29,13.178972244262695,13.294288251399994,12.923629657030109,12.981287660598756,46400,0.01765447896317217
1999-06-30,13.491971969604492,13.508445683853092,13.08836597051376,13.294287398621275,51000,0.023472292038891528
1999-07-01,13.5908203125,13.689662642045452,13.48374112215909,13.533162286931816,38400,0.007299748179892489
1999-07-02,13.64024543762207,13.70614034311783,13.557876805752374,13.61553484806116,48500,0.0036300583935887183
1999-07-06,13.631999015808104,13.829683593680851,13.549630441694465,13.69789387509902,93000,-0.0006047483242071478
1999-07-07,13.574345588684082,13.664951050744474,13.54139814793485,13.656714190557166,17800,-0.004238240326877291
1999-07-08,13.467267036437988,13.697899132474848,13.43431959414701,13.43431959414701,34800,-0.007919580343941841
1999-07-09,13.533154487609863,13.656707328336672,13.5084439194645,13.656707328336672,31900,0.0048804854320513265
1999-07-12,13.508445739746094,13.574340597013148,13.467261453954183,13.557866882696384,14300,-0.0018274624676432804
1999-07-13,13.557868003845217,13.706131444956524,13.42607827841294,13.467262567610527,22600,0.003651943112368441
1999-07-14,13.516691207885742,13.64848100637823,13.467270033451058,13.574349244726204,19100,-0.003041735777509968
1999-07-15,13.664950370788574,13.821450706560112,13.615529212123876,13.615529212123876,28000,0.01090888000658422
1999-07-16,13.64024543762207,13.813219564548438,13.61553484806116,13.813219564548438,23700,-0.0018095413108246716
1999-07-19,13.52492904663086,13.83792984064546,13.491981594629324,13.83792984064546,33100,-0.008490067585344346
1999-07-20,13.409605979919434,13.69789603477028,13.351947968949265,13.69789603477028,35900,-0.00856326432307676
1999-07-21,13.467267036437988,13.557872502738183,13.360187848992304,13.508451339301711,23700,0.004290762913394927
1999-07-22,13.319005966186523,13.524927517921013,13.24487420756211,13.467269483435354,24900,-0.011070042054638896
1999-07-23,13.220157623291016,13.42607908159773,13.211920764958748,13.294289348281431,37200,-0.007449277718745536
1999-07-26,13.343711853027344,13.343711853027342,13.18721152882517,13.261343261341988,82300,0.00930249418971326
1999-07-27,13.384893417358398,13.475498849722054,13.2283931250939,13.40136713233361,38000,0.003081462463213461
1999-07-28,13.261334419250488,13.34370295601602,13.195439589838063,13.302518687633254,20600,-0.009274099468210083
1999-07-29,13.063650131225586,13.178966084464651,12.94009732418373,13.178966084464651,115300,-0.015019040457801796
1999-07-30,12.989523887634276,13.146024175437098,12.981287030381496,13.063655602909298,48700,-0.005690396383844104
1999-08-02,12.989523887634276,13.16249788994266,12.989523887634276,13.005997602139836,29600,0.0
1999-08-03,13.08836269378662,13.154257534283976,12.948336157729749,13.121310114035298,56300,0.007580313621347494
1999-08-04,12.849499702453612,13.170737195014954,12.750657397050125,13.170737195014954,57400,-0.018418614487900314
1999-08-05,12.882453918457031,12.915401370933903,12.577689983045964,12.84950646598016,85300,0.0025613472265069
1999-08-06,12.668292045593262,12.800081819799694,12.544739132274731,12.800081819799694,18800,-0.016764041933614204
1999-08-09,12.635339736938477,12.7506557449679,12.594155448356538,12.717708314102351,7400,-0.002604553177677692
1999-08-10,12.594160079956056,12.693002408902734,12.454133447281592,12.693002408902734,29200,-0.003264408240357789
1999-08-11,12.46237087249756,12.64358181710757,12.421186566904376,12.635344955988934,38200,-0.010519446846722777
1999-08-12,12.69300651550293,12.808322603249223,12.511795520473038,12.511795520473038,27300,0.018337399770333468
1999-08-13,12.783602714538574,12.882445003568511,12.70947099776612,12.81655014421522,26200,0.007112138047821812
1999-08-16,12.857739448547363,12.915397472980311,12.742423399681469,12.750660260314747,37700,0.0057826099837304384
1999-08-17,12.923635482788086,12.948346066885197,12.775371978205431,12.93187234415379,24700,0.005111921137978203
1999-08-18,12.742424011230469,12.97305612003102,12.742424011230469,12.923634953859471,33500,-0.014120943087198176
1999-08-19,12.82479190826416,12.857739350546147,12.660054696854216,12.660054696854216,15000,0.006443265645823095
1999-08-20,13.080132484436035,13.11307992142454,12.767131833045248,12.791842410786623,89300,0.019714309308550282
1999-08-23,13.36841869354248,13.376655550408495,13.178970985624131,13.178970985624131,56100,0.02180063662751553
1999-08-24,13.31076717376709,13.40960950426536,13.22839856501853,13.22839856501853,52800,-0.0043218417382153125
1999-08-25,13.706130981445312,13.706130981445312,13.36841982144576,13.417840966811548,61900,0.02926997997550701
1999-08-26,13.483738899230955,13.730844682356754,13.483738899230955,13.615528650231385,23800,-0.016358816185076428
1999-08-27,13.31076717376709,13.615531026136756,13.302530312892234,13.524925556513342,66000,-0.012911163790430571
1999-08-30,13.327240943908691,13.442556996575393,13.244872334861048,13.376662109337277,35700,0.001236862168447295
1999-08-31,13.211920738220217,13.376657904532188,13.121315296748628,13.203683879904617,14100,-0.008690623530914288
1999-09-01,13.162500381469728,13.26957954602486,13.088368652162323,13.17073724028166,19800,-0.003747601842454096
1999-09-02,13.14603042602539,13.187214731871336,12.981293202641616,13.16250414836377,30000,-0.00125206213273238
1999-09-03,13.376659393310549,13.442554267169218,13.28605394175487,13.351948815613545,136200,0.01739150756707946
1999-09-07,13.277817726135254,13.442554918767204,13.203685989450875,13.434318059135606,225600,-0.007416549182270216
1999-09-08,13.286055564880373,13.360187307027871,13.137792080585363,13.203686962494254,63400,0.0006202287534616312
1999-09-09,13.096606254577637,13.19544856593294,13.030711380340769,13.113079973136854,80300,-0.014361899339153788
1999-09-10,13.113080978393556,13.244870736970377,13.047186099105144,13.14602841803776,32500,0.0012571478506575727
1999-09-13,13.096606254577637,13.113079973136854,12.981290224663116,13.113079973136854,22200,-0.0012571478506576686
1999-09-14,12.882453918457031,13.006006865245302,12.824795876622506,13.006006865245302,18400,-0.016486907959430388
1999-09-15,12.783602714538574,13.096603296466707,12.783602714538574,12.907155575825996,53700,-0.007702912380217175
1999-09-16,12.81655502319336,12.87421304707662,12.65181781209833,12.87421304707662,44700,0.0025743846730586274
1999-09-17,12.837361335754396,12.98596101681136,12.804339184408402,12.878639024936884,28100,0.0016220772557245494
1999-09-20,12.886890411376951,12.977701298324517,12.820846129960543,12.961190227970414,17200,0.003850773761097536
1999-09-21,12.663994789123535,12.79608339187841,12.540161724040845,12.738294628173152,30400,-0.0174476363512501
1999-09-22,12.655739784240724,12.738295164437986,12.465862409787013,12.663995322260448,28000,-0.0006520609567515121
1999-09-23,12.358535766601562,12.630968418771136,12.284235952373498,12.630968418771136,43400,-0.02376387062362078
1999-09-24,12.292490005493164,12.36678981076478,12.152145928868997,12.325512141169437,41800,-0.005358472280315532
1999-09-27,12.251214981079102,12.416325695109816,12.251214981079102,12.317259266691387,30600,-0.003363393044908795
1999-09-28,12.069594383239746,12.292493869113532,11.90448365296287,12.292493869113532,117900,-0.014935685022042667
1999-09-29,11.755882263183594,12.13563688685385,11.755882263183596,11.937504039721544,95200,-0.026335695713381947
1999-09-30,12.020057678222656,12.15214622413719,11.912735734667097,11.99529107586368,25000,0.022222994150572807
1999-10-01,12.21819305419922,12.284237340978672,11.978782514623692,12.05308233725058,67800,0.01634934728820696
1999-10-04,12.358535766601562,12.40806897608694,12.275980417459268,12.350280231687334,38300,0.011420904621869076
1999-10-05,12.209935188293455,12.432834613637558,12.16865751693344,12.275979462469488,49200,-0.012096999502193149
1999-10-06,12.68875789642334,12.68875789642334,12.350280945380169,12.44934737007573,36500,0.038466416408741065
1999-10-07,12.589691162109377,12.779568471439548,12.540157950979763,12.581435626921106,43400,-0.007838079090093524
1999-10-08,12.928166389465332,13.060254934951567,12.688755900771527,12.746544639421758,32600,0.02653005482507332
1999-10-11,12.94467830657959,13.052000256825467,12.8951450987738,13.052000256825467,49000,0.0012763899408795236
1999-10-12,12.697014808654783,12.911658752104085,12.68050373608176,12.911658752104085,98600,-0.0193178507107613
1999-10-13,12.449346542358398,12.75480133152767,12.441091007515986,12.746545796685258,19500,-0.019698776422599793
1999-10-14,12.482372283935549,12.531905507284495,12.292494927764569,12.37505030001282,47100,0.002649296755184015
1999-10-15,12.028313636779783,12.32551287557462,12.020058102368818,12.32551287557462,68300,-0.037054091389200745
1999-10-18,12.251214981079102,12.317259266691387,12.07784873134685,12.143893016959137,15900,0.018361773859746012
1999-10-19,12.771312713623049,12.796079318756124,12.498880057159209,12.589690942647152,88300,0.04157634724133409
1999-10-20,12.820841789245604,12.870374983537603,12.63922007684161,12.787819659717606,186500,0.0038706500817474176
1999-10-21,12.911659240722656,12.911659240722656,12.713526362348397,12.746548508744109,37800,0.007058608756662221
1999-10-22,12.994211196899414,13.093277610090514,12.895144783708313,13.093277610090514,57100,0.006373245462006709
1999-10-25,12.845614433288574,13.01898069492036,12.705270316729507,12.73829246180223,109900,-0.011501501892611257
1999-10-26,12.680503845214844,12.911658863226572,12.56492633620898,12.812592426935831,20100,-0.012936780203872324
1999-10-27,12.837361335754396,12.837361335754396,12.556673049313464,12.60620627633245,64900,0.012294090050482508
1999-10-28,13.068506240844728,13.167572617907352,12.87862901814136,12.87862901814136,125200,0.01784545826015434
1999-10-29,13.118043899536133,13.357454392353343,13.118043899536136,13.200599241886897,154600,0.0037834474199891035
1999-11-01,13.14281177520752,13.307922475901082,13.093278564999451,13.241878195623656,116900,0.0018862967240720124
1999-11-02,12.886890411376951,13.250133959167206,12.886890411376951,13.018978974209771,276500,-0.01966442864311804
1999-11-03,13.217113494873049,13.217113494873049,13.02723616171747,13.02723616171747,92300,0.025301919317914274
1999-11-04,13.159320831298828,13.373964709350126,13.101532094900405,13.373964709350126,36700,-0.004382150774696526
1999-11-05,13.258393287658691,13.332693125509827,13.159326837190507,13.291415437814752,55900,0.007500491554744278
1999-11-08,13.2418794631958,13.2418794631958,13.10979088999684,13.159324104946451,22300,-0.0012463137082188301
1999-11-09,13.010722160339355,13.29966586313877,12.952933419779471,13.29966586313877,37900,-0.01761069476731428
1999-11-10,13.018976211547852,13.076764945524284,12.903398743594984,12.903398743594984,33400,0.0006342026224989026
1999-11-11,13.018976211547852,13.151064746351128,12.969443010996622,13.01897621154785,26600,0.0
1999-11-12,13.109797477722168,13.1345640976423,12.911664518361128,13.018986538015024,31500,0.006951848029536625
1999-11-15,13.05199909210205,13.142809964975626,12.994210354818868,13.05199909210205,119600,-0.004418540561722857
1999-11-16,13.299667358398438,13.29966735839844,13.109790046639802,13.109790046639802,41100,0.01879771509719441
1999-11-17,13.23361873626709,13.340940659892462,13.208852138507387,13.208852138507387,45300,-0.004978558503407198
1999-11-18,13.299667358398438,13.349200570161562,13.134556652521365,13.200600934872194,99900,0.004978558503407316
1999-11-19,13.208853721618652,13.307920124530792,13.118042852282525,13.266642456650734,20800,-0.006851683032798171
1999-11-22,13.349199295043944,13.406988036580932,13.175833070432985,13.18408860493827,39600,0.01056906391277786
1999-11-23,13.316179275512695,13.448267848611394,13.266646060600682,13.373968026243377,33000,-0.002476622360464016
1999-11-24,13.47303581237793,13.473035812377928,13.29141400608362,13.406991519179998,41400,0.01171055806736504
1999-11-26,13.34094524383545,13.547333629414586,13.34094524383545,13.547333629414586,17200,-0.009852445019175815
1999-11-29,13.332688331604004,13.398732608169226,13.19234424390291,13.241877451326824,34200,-0.0006191066898948838
1999-11-30,13.159320831298828,13.365709175578925,13.159320831298828,13.365709175578925,23500,-0.013088473144528033
1999-12-01,13.109797477722168,13.18409733748256,12.994219918094895,13.068519777855286,37500,-0.003770466268753443
1999-12-02,13.175829887390137,13.175829887390137,13.010719237172214,13.06025243223759,64600,0.005024232266164736
1999-12-03,13.266651153564451,13.398739777370944,13.10154037380634,13.10154037380634,93100,0.006869372293389967
1999-12-06,12.886890411376951,13.167578607396694,12.845612735491695,13.14281200186554,44700,-0.02904290683401906
1999-12-07,12.680503845214844,12.928169935941694,12.548415263493856,12.928169935941694,44600,-0.01614486381157999
1999-12-08,12.482372283935549,12.647483028432047,12.416327986136944,12.589694267858272,34600,-0.01574825191581214
1999-12-09,12.465856552124023,12.573178495950255,12.300745869314436,12.449345483843064,50700,-0.0013240005398937257
