Date,Close,High,Low,Open,Volume,Log_Return
2015-10-08,20.8613224029541,20.8613224029541,20.723214467398208,20.723214467398208,2000,
2015-10-09,20.826791763305664,20.854414135395995,20.757737150187022,20.854414135395995,4300,-0.0016566183544707354
2015-10-12,20.9580020904541,21.006339939943977,20.902758645736014,21.006339939943977,2300,0.006280311391615272
2015-10-13,20.826791763305664,20.826791763305664,20.826791763305664,20.826791763305664,500,-0.006280311391615315
2015-10-14,20.826791763305664,20.826791763305664,20.826791763305664,20.826791763305664,0,0.0
2015-10-15,20.76464080810547,20.76464080810547,20.7370197556964,20.7370197556964,2500,-0.0029886444211548466
2015-10-16,21.15963363647461,21.17206317687576,21.127868962758964,21.127868962758964,400,0.018843713889083843
2015-10-19,21.406850814819336,21.41375640861893,21.199688269260793,21.199688269260793,2000,0.011615709456271892
2015-10-20,21.42757225036621,21.65545162681979,21.39994986916814,21.65545162681979,3200,0.0009675133073113851
2015-10-21,21.44483184814453,21.44483184814453,21.44483184814453,21.44483184814453,400,0.000805161225439526
2015-10-22,21.716217041015625,21.72657477446648,21.52907977192053,21.5311515820322,2200,0.012575633651143928
2015-10-23,21.455188751220703,21.455188751220703,21.365418665635143,21.443449373419096,3500,-0.012092794569358722
2015-10-26,21.48280906677246,21.489714659941143,21.42618399305361,21.42618399305361,600,0.0012865210659541864
2015-10-27,21.48833465576172,21.489716301343876,21.406850494097565,21.44828273916706,3400,0.00025717672563670694
2015-10-28,21.410303115844727,21.634730306161167,21.410303115844727,21.572581278599916,3200,-0.0036379535589354276
2015-10-29,21.507671356201172,21.507671356201172,21.41375764589359,21.427568834290785,3900,0.004537418580767799
2015-10-30,21.37232208251953,21.37232208251953,21.37232208251953,21.37232208251953,200,-0.006312954473065901
2015-11-02,21.37232208251953,21.37232208251953,21.37232208251953,21.37232208251953,100,0.0
2015-11-03,21.648542404174805,21.821178306413664,21.627825621747473,21.821178306413664,500,0.012841402454619677
2015-11-04,21.55877113342285,21.765935007680717,21.55877113342285,21.765935007680717,1900,-0.0041553798455225026
2015-11-05,21.475910186767575,21.60020826844378,21.372328891073288,21.60020826844378,23800,-0.003850896370624322
2015-11-06,20.68178367614746,20.97871635121956,20.68178367614746,20.97871635121956,9000,-0.03767855333843449
2015-11-09,20.51605224609375,20.788127153376163,20.44009333638816,20.75774279922939,45500,-0.008045681059059574
2015-11-10,20.737022399902344,20.79226582887172,20.612724355444445,20.79226582887172,27200,0.010713008379105233
2015-11-11,20.808841705322266,20.89584982095653,20.7094027299339,20.78881508712337,27100,0.0034573538669356333
2015-11-12,20.68178367614746,20.771553774730645,20.61963463977928,20.61963463977928,63900,-0.006124681186981299
2015-11-13,20.41246795654297,20.626537415714573,20.409705982409683,20.59200944628011,47700,-0.013107408685647448
2015-11-16,20.391756057739254,20.45390509648146,20.391756057739254,20.391756057739254,4200,-0.0010151841424686624
2015-11-17,20.70940589904785,20.840609573968333,20.667973644849457,20.71631149426552,25700,0.015457283968158281
2015-11-18,20.95454216003418,20.95454216003418,18.437512088317497,20.467709042275036,28600,0.011767444091295902
2015-11-19,21.0684814453125,21.09610249923981,20.99942683483352,20.99942683483352,3500,0.005422720913921936
2015-11-20,21.241130828857425,21.24803642601012,21.20660284309393,21.20660284309393,600,0.008161282156076121
2015-11-23,21.351608276367188,21.415137634614226,21.351608276367188,21.386134929704827,2400,0.005187630454866592
2015-11-24,21.02705192565918,21.420661544062412,21.02705192565918,21.420661544062412,2500,-0.015317270282743076
2015-11-25,21.02705192565918,21.420661544062412,21.02705192565918,21.420661544062412,0,0.0
2015-11-27,21.185874938964844,21.185874938964844,21.185874938964844,21.185874938964844,0,0.0075248874945942025
2015-11-30,21.234214782714844,21.406850675257243,21.214879647044967,21.406850675257243,1600,0.0022791024248885565
2015-12-01,21.585704803466797,21.585704803466797,21.393042268857673,21.393042268857673,5600,0.01641749536168513
2015-12-02,21.144439697265625,21.55876468768984,21.144439697265625,21.482805808569147,4400,-0.02065430848582684
2015-12-03,20.723207473754883,20.97180351781002,20.723207473754883,20.97180351781002,800,-0.020122766186224553
2015-12-04,21.144439697265625,21.289453180492696,20.930370292825156,20.930370292825156,4400,0.020122766186224703
