Date,Value
2012-01-03,100.0
2012-01-04,99.74430112291942
2012-01-05,99.6431306361258
2012-01-06,99.43893195630433
2012-01-09,99.74159433015566
2012-01-10,100.52659590793192
2012-01-11,100.84015518291953
2012-01-12,100.99978147521573
2012-01-13,100.87546493364184
2012-01-17,101.48495585342283
2012-01-18,102.11312539102184
2012-01-19,102.10056674130736
2012-01-20,101.90080947662288
2012-01-23,102.08346447120881
2012-01-24,102.01379362484369
2012-01-25,102.9650379307305
2012-01-26,103.05254468393767
2012-01-27,103.47691288586421
2012-01-30,103.30919239264202
2012-01-31,103.72750048002617
2012-02-01,104.25304234047441
2012-02-02,104.4533389081228
2012-02-03,104.5730262029208
2012-02-06,104.49830514752405
2012-02-07,104.51270335057383
2012-02-08,104.69258611790373
2012-02-09,104.49631740509895
2012-02-10,104.02869683339979
2012-02-13,104.59564048284413
2012-02-14,104.52940930393761
2012-02-15,104.4920060845368
2012-02-16,104.85816358491937
2012-02-17,104.83998307287075
2012-02-21,104.91548703339294
2012-02-22,105.1641245459424
2012-02-23,105.41823167524973
2012-02-24,105.71318323305026
2012-02-27,105.7021420218307
2012-02-28,106.13232945022746
2012-02-29,105.06026939603737
2012-03-01,105.47663632840893
2012-03-02,105.36181275867418
2012-03-05,104.83463450760473
2012-03-06,103.59405441086777
2012-03-07,104.08781725716547
2012-03-08,104.71133154585341
2012-03-09,104.81419045085192
2012-03-12,104.60464875950595
2012-03-13,104.95653669282392
2012-03-14,103.7139874031505
2012-03-15,104.19063936351446
2012-03-16,104.26287453998265
2012-03-19,104.1252401029255
2012-03-20,103.52656316596102
2012-03-21,103.79336304724487
2012-03-22,103.33919205083714
2012-03-23,103.97228675583288
2012-03-26,104.83030059215265
2012-03-27,104.66733918045044
2012-03-28,104.05592909434493
2012-03-29,104.05059161022298
2012-03-30,104.05120405948125
2012-04-02,104.80547179383824
2012-04-03,103.81020454533376
2012-04-04,103.16463261871169
2012-04-05,103.51688208873138
2012-04-09,103.52859019779557
2012-04-10,102.97919649336976
2012-04-11,103.24728944377364
2012-04-12,104.07001291706992
