Date,CPI,YoY_Inflation,MoM_Inflation
1970-01-01,37.9,,
1970-02-01,38.1,,0.005263170044274691
1970-03-01,38.3,,0.005235614053944943
1970-04-01,38.5,,0.00520834510713826
1970-05-01,38.6,,0.002594035177046749
1970-06-01,38.8,,0.005167970158442377
1970-07-01,38.9,,0.0025740039951728426
1970-08-01,39.0,,0.0025673955052459545
1970-09-01,39.2,,0.005115100666770409
1970-10-01,39.4,,0.005089069507471228
1970-11-01,39.6,,0.005063301956546855
1970-12-01,39.8,,0.005037794029957081
1971-01-01,39.9,0.051425211807437185,0.002509411605425707
1971-02-01,39.9,0.04616204176316241,0.0
1971-03-01,40.0,0.043429557927336104,0.0025031302181184748
1971-04-01,40.1,0.04071809301878498,0.002496880198587146
1971-05-01,40.3,0.04309919248185206,0.004975134640113708
1971-06-01,40.5,0.04288172748326576,0.004950505159856205
1971-07-01,40.6,0.042773815983286445,0.0024660924951934683
1971-08-01,40.7,0.04266644631890294,0.002460025840862399
1971-09-01,40.8,0.04000533461369899,0.002453988961566566
1971-10-01,40.9,0.037364246744867984,0.0024479816386400372
1971-11-01,41.0,0.03474294844387284,0.002442003655551809
1971-12-01,41.1,0.03214120921179699,0.002436054797881121
1972-01-01,41.2,0.032061932459663094,0.0024301348532918907
1972-02-01,41.4,0.03690455693545098,0.004842624475787991
1972-03-01,41.4,0.03440142671733232,0.0
1972-04-01,41.5,0.034317092924129156,0.002412546405383926
1972-05-01,41.6,0.031748698314580485,0.0024067400305650593
1972-06-01,41.7,0.02919915469226235,0.002400961537538268
1972-07-01,41.8,0.029128272923023637,0.0023952107259546285
1972-08-01,41.9,0.02905773447954255,0.0023894873973814854
1972-09-01,42.1,0.031365659278219826,0.004761913760243785
1972-10-01,42.2,0.031290157993210256,0.0023724803536303955
1972-11-01,42.4,0.033576295533604306,0.004728141195945896
1972-12-01,42.5,0.033495954428182186,0.002355713692459205
1973-01-01,42.7,0.03576066387909826,0.004694844304207885
1973-02-01,43.0,0.03791923486229368,0.007001195458983561
1973-03-01,43.4,0.04717856027509047,0.009259325412796726
1973-04-01,43.7,0.051654674864891933,0.006888660995185316
1973-05-01,43.9,0.05381415281390799,0.004566217979581184
1973-06-01,44.2,0.05822366027889674,0.006810469002526879
1973-07-01,44.2,0.05582844955294189,0.0
1973-08-01,45.0,0.0713766628422278,0.01793770068666725
1973-09-01,45.2,0.07104934614984978,0.004434597067865775
1973-10-01,45.6,0.07748749547837433,0.008810629682154906
1973-11-01,45.9,0.07931675482858735,0.0065574005461590396
1973-12-01,46.3,0.0856378851618172,0.008676844025688815
1974-01-01,46.8,0.09168428268902208,0.010741241831412616
1974-02-01,47.3,0.09531017980432474,0.010627092574286193
1974-03-01,47.8,0.09656619839105111,0.010515343999522907
1974-04-01,48.1,0.09593407501017094,0.006256537614305358
1974-05-01,48.6,0.10170921082532242,0.01034135379473253
1974-06-01,49.0,0.10309550902697402,0.00819676720417849
1974-07-01,49.3,0.10919929196499181,0.006103782938017666
1974-08-01,49.9,0.10335851298715315,0.01209692170882853
1974-09-01,50.6,0.11285448945523423,0.013930573535947002
1974-10-01,51.0,0.1119179162039854,0.007874056430905866
1974-11-01,51.5,0.11511669060319106,0.009756174945364656
1974-12-01,51.9,0.11417682907965461,0.007736982502152401
1975-01-01,52.3,0.11111316814727619,0.007677580899034332
1975-02-01,52.6,0.10620582424577704,0.00571974867278713
1975-03-01,52.8,0.0994855512148055,0.0037950709685515343
1975-04-01,53.0,0.0970097364404063,0.0037807228399061523
1975-05-01,53.1,0.08855339734144503,0.0018850146957714257
1975-06-01,53.5,0.08786135579133425,0.007504725654067792
1975-07-01,54.0,0.0910599655156301,0.00930239266231341
1975-08-01,54.2,0.08265990568812773,0.0036968618813262026
1975-09-01,54.6,0.07608230645743949,0.007352974305258733
1975-10-01,54.9,0.07368771579115913,0.0054794657646255705
1975-11-01,55.3,0.07119110085859867,0.007259560012804102
1975-12-01,55.6,0.06886441108469372,0.0054102927282477006
1976-01-01,55.8,0.0647774983163881,0.00359066813072854
1976-02-01,55.9,0.06084826041738923,0.0017905107737882938
1976-03-01,56.0,0.058840500022933395,0.0017873105740958803
1976-04-01,56.1,0.05684389897652889,0.001784121793501392
1976-05-01,56.4,0.060292230256120044,0.005333345975362603
1976-06-01,56.7,0.05809255683174557,0.005305052229693319
1976-07-01,57.0,0.05406722127027579,0.005277057100843819
1976-08-01,57.3,0.05561971527509336,0.005249355886143745
1976-09-01,57.6,0.05348868495098622,0.005221943981151846
1976-10-01,57.9,0.05320403606346467,0.00519481687710393
1976-11-01,58.1,0.049392755329576474,0.0034482792789159236
1976-12-01,58.4,0.04913268857764459,0.005150225976315861
1977-01-01,58.7,0.05066585744678561,0.005123836999869466
1977-02-01,59.3,0.05904492584262625,0.010169579169629012
1977-03-01,59.6,0.06230388333615484,0.0050462680676244395
1977-04-01,60.0,0.0672087496934501,0.006688988150796489
1977-05-01,60.2,0.06520319381076228,0.0033277900926747457
1977-06-01,60.5,0.06486915430308929,0.004971012722020402
1977-07-01,60.8,0.06453852113757116,0.004946423935325395
1977-08-01,61.1,0.06421124245685579,0.004922077205428455
1977-09-01,61.3,0.06225727524032,0.003267976764616013
1977-10-01,61.6,0.06194448596052461,0.00488202759730854
1977-11-01,62.0,0.06496872118722599,0.00647251450561752
1977-12-01,62.3,0.06464553595922597,0.004827040748315944
1978-01-01,62.7,0.0659217208048243,0.006400021845467725
1978-02-01,63.0,0.060525420387852934,0.0047732787526575905
1978-03-01,63.4,0.061808287371876026,0.00632913505164753
1978-04-01,63.9,0.06297479916138839,0.007855499940308833
1978-05-01,64.5,0.06899287148695142,0.009345862418237599
1978-06-01,65.0,0.07174390485884131,0.0077220460939103185
1978-07-01,65.5,0.07446035366908489,0.007662872745569097
1978-08-01,65.9,0.07562657533091192,0.006088298867255355
1978-09-01,66.5,0.08142210471964274,0.00906350615334691
1978-10-01,67.1,0.08552217343816193,0.008982096315827586
1978-11-01,67.5,0.0849932128333925,0.005943553900848137
1978-12-01,67.9,0.08607460877124319,0.005908436686166489
1979-01-01,68.5,0.08847229762930456,0.008797710703529131
1979-02-01,69.2,0.09386613623209128,0.010167117355444242
1979-03-01,69.9,0.09760178779658436,0.010064786616140837
1979-04-01,70.6,0.09971078311570723,0.009964495259431728
1979-05-01,71.4,0.1016326455438119,0.011267724846342506
1979-06-01,72.2,0.1050527760031434,0.011142176553241803
1979-07-01,73.0,0.10840929850718496,0.01101939524961048
1979-08-01,73.7,0.11186435768682927,0.009543358046899916
1979-09-01,74.4,0.11225399417723783,0.00945314264375533
1979-10-01,75.2,0.11396718697815825,0.01069528911674795
1979-11-01,76.0,0.118605742407847,0.010582109330537008
1979-12-01,76.9,0.12446984194694782,0.011772536225267194
1980-01-01,78.0,0.12987508142141208,0.014202950177993317
1980-02-01,79.0,0.13244698984339748,0.012739025777429712
1980-03-01,80.1,0.13621020483454882,0.013828001607291897
1980-04-01,80.9,0.13618367956524968,0.009937969990132712
1980-05-01,81.7,0.13475613252041843,0.009840177801511136
1980-06-01,82.5,0.13335824744185462,0.009744291474678141
1980-07-01,82.6,0.12355023937854116,0.0012113871862970882
1980-08-01,83.2,0.12124454863187197,0.007237667300230603
1980-09-01,83.9,0.12016967163411431,0.00837826564599772
1980-10-01,84.7,0.11896437070221455,0.00948998818484821
1980-11-01,85.6,0.11895194286136529,0.010569681489687642
1980-12-01,86.4,0.11648179929841165,0.00930239266231363
1981-01-01,87.2,0.11149550422534223,0.009216655104924048
1981-02-01,88.0,0.10788896201118492,0.009132483563272472
1981-03-01,88.6,0.10085600353672176,0.006795043132828808
1981-04-01,89.1,0.09654551041231757,0.005627476865728389
1981-05-01,89.7,0.0934167671987932,0.006711434587986999
1981-06-01,90.5,0.0925515573652451,0.008879081641129924
1981-07-01,91.5,0.10232929175454336,0.010989121575595165
1981-08-01,92.2,0.10271278273538519,0.007621158281072566
1981-09-01,93.1,0.10404857080986081,0.00971405372047307
1981-10-01,93.4,0.09777574357678817,0.003217160951775764
1981-11-01,93.8,0.0914795728644827,0.004273510777381864
1981-12-01,94.1,0.0853703707813239,0.0031931905791549855
1982-01-01,94.4,0.07933674223652101,0.0031830265601211125
1982-02-01,94.7,0.07337718571382612,0.0031729270405774918
1982-03-01,94.7,0.06658214258099748,0.0
1982-04-01,95.0,0.06411755712377724,0.003162891408508217
1982-05-01,95.9,0.06683521282464219,0.009429090288851687
1982-06-01,97.0,0.06936112779750232,0.011404996613990161
1982-07-01,97.5,0.06351340572232593,0.005141399500418652
1982-08-01,97.7,0.05794142848618896,0.0020491810449356452
1982-09-01,97.7,0.048227374765715834,0.0
1982-10-01,98.1,0.0490960213365204,0.004085807522580354
1982-11-01,98.0,0.043802622658393055,-0.0010198879007454116
1982-12-01,97.7,0.03754351245740315,-0.003065919621834789
1983-01-01,97.9,0.03640547638500976,0.0020449904877276478
1983-02-01,98.0,0.034253478478539386,0.001020929134107143
1983-03-01,98.1,0.03527336637928478,0.0010198879007453808
1983-04-01,98.8,0.03922071315328133,0.007110238182504812
1983-05-01,99.2,0.03383203240143464,0.004040409537005127
1983-06-01,99.4,0.02444113515914566,0.0020140993717011856
1983-07-01,99.8,0.023315805313616846,0.004016069654889744
1983-08-01,100.1,0.024268127272437694,0.003001503003756558
1983-09-01,100.4,0.027260648208891732,0.0029925209364539294
1983-10-01,100.8,0.027150989065950898,0.003976148379639417
1983-11-01,101.1,0.031142647355853856,0.00297177038915748
1983-12-01,101.4,0.03717153210834573,0.00296296513065727
1984-01-01,102.1,0.042006175634155006,0.006879634013537007
1984-02-01,102.6,0.04587045406609714,0.004885207566049341
1984-03-01,102.9,0.047770276268686594,0.002919710103334846
1984-04-01,103.3,0.044539771371770745,0.0038797332855888492
1984-05-01,103.5,0.04243359841459654,0.0019342365798309684
1984-06-01,103.7,0.0423500015729533,0.001930502530057845
1984-07-01,104.1,0.0421837923035049,0.003849860385441494
1984-08-01,104.4,0.042059989127363646,0.0028776998276151956
1984-09-01,104.7,0.041936910618862316,0.002869442427952739
1984-10-01,105.1,0.041773922245637266,0.00381316000641419
1984-11-01,105.3,0.04070329311350419,0.0019011412570243728
1984-12-01,105.5,0.03963786175903827,0.0018975337761914111
1985-01-01,105.7,0.03465216770557224,0.0018939399600707832
1985-02-01,106.3,0.03542735261123322,0.005660392471710134
1985-03-01,106.8,0.03720028368609049,0.004692641178192225
1985-04-01,107.0,0.035191458336313326,0.001870907935811824
1985-05-01,107.2,0.03512463593127796,0.0018674141747954624
1985-06-01,107.5,0.03598873233223582,0.002794598931015925
1985-07-01,107.7,0.03399760854141984,0.001858736594625342
1985-08-01,107.9,0.032975196815550584,0.0018552881017461409
1985-09-01,108.1,0.031957606768671286,0.0018518523810735048
1985-10-01,108.5,0.031837895097608745,0.00369344833535173
1985-11-01,109.0,0.034534463089214,0.004597709248629549
1985-12-01,109.5,0.03721359634043427,0.0045766670274118935
1986-01-01,109.9,0.03896596853338371,0.0036463121530203
1986-02-01,109.7,0.03148408193328239,-0.001821494128391132
1986-03-01,109.1,0.02130696631293056,-0.005484474442159452
1986-04-01,108.7,0.015762959665257554,-0.0036730987118613503
1986-05-01,109.0,0.01665163359244216,0.0027560881019799838
1986-06-01,109.4,0.017520042420163313,0.0036630077587372417
1986-07-01,109.5,0.0165749650942126,0.0009136592686745454
1986-08-01,109.6,0.015632502249826107,0.0009128252573596817
1986-09-01,110.0,0.017423641147253692,0.00364299127850123
1986-10-01,110.2,0.015546723738299958,0.001816530926398007
1986-11-01,110.4,0.012762251613851291,0.0018132371241809436
1986-12-01,110.8,0.011802225056627912,0.003616640470188515
1987-01-01,111.4,0.013556466083608028,0.005400553180000289
1987-02-01,111.8,0.018962193439814253,0.0035842332278151067
1987-03-01,112.2,0.02801810024957078,0.0035714323675971795
1987-04-01,112.7,0.03613762691856683,0.00444642795713462
1987-05-01,113.0,0.03603993648319687,0.0026583976666098774
1987-06-01,113.5,0.03679194693357656,0.004415018209116693
1987-07-01,113.8,0.03851797243567492,0.0026396847707732454
1987-08-01,114.3,0.04198919628684993,0.004384049108534449
1987-09-01,114.7,0.04183965834290877,0.0034934533345601267
1987-10-01,115.0,0.04263523164443596,0.002612104227924961
1987-11-01,115.4,0.044294220231004336,0.0034722257107492787
1987-12-01,115.6,0.04240918192509361,0.0017316021642778939
1988-01-01,116.0,0.04046286361318087,0.0034542348680876036
1988-02-01,116.2,0.0386012836968121,0.001722653311446156
1988-03-01,116.5,0.03760827991715932,0.002578428587944307
1988-04-01,117.2,0.03915245609718162,0.005990604137156973
1988-05-01,117.5,0.039050514871873034,0.002556456441301394
1988-06-01,118.0,0.03888178754420748,0.004246290881451004
1988-07-01,118.5,0.040470438882955415,0.004228336109521105
1988-08-01,119.0,0.04029692231076439,0.004210532536343458
1988-09-01,119.5,0.040996347236240335,0.004192878260035958
1988-10-01,119.9,0.041725933670218644,0.0033416906619032558
1988-11-01,120.3,0.04158426890663387,0.0033305609471645323
1988-12-01,120.7,0.04317217186520878,0.003319505122852713
1989-01-01,121.2,0.04385188252884941,0.004133945531728332
1989-02-01,121.6,0.045424125114255635,0.0032948958968524846
1989-03-01,122.2,0.04776777373173966,0.004922077205428455
1989-04-01,123.1,0.04911515604749561,0.007337986452912791
1989-05-01,123.7,0.05142094581422851,0.004862246208034556
1989-06-01,124.1,0.050403067744896675,0.0032284128121191787
1989-07-01,124.5,0.049392755329576474,0.003218023694200793
1989-08-01,124.5,0.04518222279323297,0.0
1989-09-01,124.8,0.043396084563761865,0.0024067400305650593
1989-10-01,125.4,0.04485056616535171,0.0047961722634930135
1989-11-01,125.9,0.04549931806966842,0.003979312851481054
1989-12-01,126.3,0.045351901252959625,0.003172088306143979
1990-01-01,127.5,0.0506742909632668,0.009456335242035444
1990-02-01,128.0,0.05129329438755048,0.003913899321136315
1990-03-01,128.6,0.05104776506602394,0.004676547883901803
1990-04-01,128.9,0.04603987675473402,0.0023300981416228303
1990-05-01,129.1,0.04272801845415449,0.0015503879074549917
1990-06-01,129.9,0.04567723146599251,0.006177625823957155
1990-07-01,130.5,0.04706751085798573,0.004608303086194181
1990-08-01,131.6,0.055461302986454436,0.00839379212846862
1990-09-01,132.5,0.059870189490949716,0.006815626535060039
1990-10-01,133.4,0.061843505282703055,0.006769488055246575
1990-11-01,133.7,0.06011054305759585,0.0022463506263740154
1990-12-01,134.2,0.06067119518113591,0.0037327404296839204
1991-01-01,134.7,0.0549337188178374,0.003718858878736977
1991-02-01,134.8,0.05176193455858958,0.0007421150618884935
1991-03-01,134.8,0.04708538667468786,0.0
1991-04-01,135.1,0.04697833502101129,0.0022230464879464517
1991-05-01,135.6,0.049122077653698415,0.003694130540142098
1991-06-01,136.0,0.04588996205949812,0.0029455102297569658
1991-07-01,136.2,0.042751166952663906,0.001469507979359978
1991-08-01,136.6,0.0372899282454728,0.00293255342127772
1991-09-01,137.0,0.03339828040184801,0.002923978691435282
1991-10-01,137.2,0.02808758181026142,0.0014587894636598666
1991-11-01,137.8,0.03020487447166097,0.004363643287773492
1991-12-01,138.2,0.029370686795988196,0.0028985527540112575
1992-01-01,138.3,0.026375155254394413,0.0007233273371432477
1992-02-01,138.6,0.02779988827759601,0.002166848085090293
1992-03-01,139.1,0.03140090045119042,0.003601012173594375
1992-04-01,139.4,0.031332253360270415,0.0021543993970264464
1992-05-01,139.7,0.029787890756621003,0.002149767936492443
1992-06-01,140.1,0.029701567606909205,0.0028591870800451606
1992-07-01,140.5,0.031083095058388594,0.0028510354308390845
1992-08-01,140.8,0.030283496587252365,0.0021329549501415855
1992-09-01,141.1,0.029487933030643444,0.0021284151348261327
1992-10-01,141.7,0.0322724314048499,0.0042432878378664204
1992-11-01,142.1,0.03072767652349658,0.002818888406420201
1992-12-01,142.3,0.0292355937622374,0.001406469992751825
1993-01-01,142.8,0.03201981123477157,0.003507544809677335
1993-02-01,143.1,0.03195159980660243,0.002098636656920984
1993-03-01,143.3,0.029747235904728993,0.0013966482717210399
1993-04-01,143.8,0.03107594696052274,0.003483110452820178
1993-05-01,144.2,0.03170395858793267,0.0027777795639021483
1993-06-01,144.3,0.02953801243686409,0.0006932409289767081
1993-07-01,144.5,0.028072018778686307,0.0013850417726614787
1993-08-01,144.8,0.028013036227673888,0.002073972399129172
1993-09-01,145.0,0.027264883561806112,0.0013802624689582686
1993-10-01,145.6,0.027150989065950898,0.0041293933420111124
1993-11-01,146.0,0.02707558660528153,0.002743485945750834
1993-12-01,146.3,0.02772180293027201,0.0020526863177422615
1994-01-01,146.3,0.02421425812059453,0.0
1994-02-01,146.7,0.024845998586530804,0.002730377122857327
1994-03-01,147.1,0.02617229277326554,0.002722942458455884
1994-04-01,147.2,0.023368761007829402,0.0006795786873839003
1994-05-01,147.5,0.022626950929025804,0.0020359694850987584
1994-06-01,147.9,0.02464190393692893,0.0027081939368795564
1994-07-01,148.4,0.026631823180793192,0.0033749610165260007
1994-08-01,149.0,0.028592825993843052,0.004034975212179082
1994-09-01,149.3,0.029223962124570423,0.002011398599685635
1994-10-01,149.4,0.025764136936131464,0.0006695681535722229
1994-11-01,149.8,0.025694449374782723,0.002673798384402205
1994-12-01,150.1,0.025642430613337437,0.002000667556296969
1995-01-01,150.5,0.028303776162851724,0.0026613455495140817
1995-02-01,150.9,0.02822768062486738,0.0026542815848727233
1995-03-01,151.2,0.027490836138040826,0.0019860979716293243
1995-04-01,151.8,0.030771658666753902,0.0039604012160971355
1995-05-01,152.1,0.03071002348537261,0.001974334303717608
1995-06-01,152.4,0.029972273535791717,0.0019704439872987385
1995-07-01,152.6,0.027908788117076443,0.0013114755978106555
1995-08-01,152.9,0.02583780698955756,0.001963994084660022
1995-09-01,153.1,0.025133598118493316,0.0013071897286214247
1995-10-01,153.5,0.02707329432853481,0.0026092643636138452
1995-11-01,153.7,0.025701579461430944,0.0013020835172982007
1995-12-01,153.9,0.0250013022054174,0.0013003903002835552
1996-01-01,154.7,0.027524673390089936,0.005184716734186895
1996-02-01,155.0,0.02680775114544342,0.0019373593402261763
1996-03-01,155.5,0.028042267873856247,0.003220614700042157
1996-04-01,156.1,0.027932962559856812,0.0038510959020974724
1996-05-01,156.4,0.027878628845963604,0.0019200005898244268
1996-06-01,156.7,0.02782450610942905,0.001916321250764277
1996-07-01,157.0,0.028425686497951505,0.0019126559863329874
1996-08-01,157.2,0.0277347670600895,0.0012730746467981126
1996-09-01,157.7,0.02960319130535467,0.003175613973886599
1996-10-01,158.2,0.030159488306301538,0.003165561364560711
1996-11-01,158.7,0.03201297698781311,0.003155572198809847
1996-12-01,159.1,0.03322989449890764,0.0025173078113778927
1997-01-01,159.4,0.029929008777094337,0.0018838310123735441
1997-02-01,159.7,0.029871938301720087,0.0018802888648519064
