Date,Close,High,Low,Open,Volume
2007-01-11,81.3388671875,81.3388671875,81.3388671875,81.3388671875,900
2007-01-12,81.3836898803711,81.3836898803711,81.3836898803711,81.3836898803711,1100
2007-01-16,81.36878204345703,81.38375099065023,81.36878204345703,81.38375099065023,500
2007-01-17,81.41370391845703,81.41370391845703,81.41370391845703,81.41370391845703,8200
2007-01-18,81.40616607666016,81.41365054725715,81.38371837384753,81.41365054725715,23100
2007-01-19,81.39124298095703,81.42117517122665,81.39124298095703,81.40621193058261,13400
2007-01-22,81.4211196899414,81.43608862936698,81.41364092920627,81.4286041596542,3000
2007-01-23,81.42864227294922,81.43612674616517,81.42115779973327,81.42115779973327,2300
2007-01-24,81.47349548339844,81.48097995273673,81.46601672303751,81.46601672303751,4300
2007-01-25,81.47349548339844,81.48846442207503,81.4585322536992,81.48097995273673,31300
2007-01-26,81.46607208251953,81.51096751110283,81.46607208251953,81.51096751110283,94800
2007-01-29,81.52588653564453,81.54085547637477,81.52588653564453,81.54085547637477,19900
2007-01-30,81.52588653564453,81.54085547637477,81.51092330389244,81.51840777425757,5500
2007-01-31,81.56329345703125,81.56329345703125,81.53336128811651,81.54084575758957,2500
2007-02-01,81.56626892089844,81.59628755517663,81.55876283096161,81.59628755517663,11400
2007-02-02,81.58880615234375,81.61131870349698,81.58130006013575,81.58880615234375,35400
2007-02-05,81.6113510131836,81.62635747806983,81.58883845311772,81.62635747806983,8700
2007-02-06,81.60387420654297,81.61888640229031,81.59637383414442,81.61888640229031,10400
2007-02-07,81.6489028930664,81.66390936293882,81.6113781301729,81.66390936293882,8500
2007-02-08,81.64131927490234,81.65632573052577,81.64131927490234,81.65632573052577,4500
2007-02-09,81.66390228271484,81.67890875128622,81.60386495748043,81.67140837973777,25400
2007-02-12,81.66390228271484,81.66390228271484,81.65639618569193,81.66390228271484,8500
2007-02-13,81.66390228271484,81.67140837973777,81.64889581414347,81.64889581414347,1500
2007-02-14,81.7164306640625,81.72393676082392,81.70892456730108,81.70892456730108,24600
2007-02-15,81.72391510009766,81.7539337537127,81.69389644648261,81.72391510009766,32200
2007-02-16,81.73895263671875,81.75396483196943,81.71644006931764,81.74645873434409,25200
2007-02-20,81.74646759033203,81.75397368877054,81.73146111893054,81.73146111893054,15000
2007-02-21,81.77644348144531,81.79144994499693,81.7013997127421,81.74642482886952,74300
2007-02-22,81.77644348144531,81.77644348144531,81.76893738693323,81.76893738693323,3200
2007-02-23,81.81397247314453,81.82147856857132,81.77645344695702,81.77645344695702,8700
2007-02-26,81.82145690917969,81.83646909605933,81.80645044777178,81.83646909605933,268100
2007-02-27,81.83650970458984,81.84401007627973,81.81399141309646,81.84401007627973,16600
2007-02-28,81.88897705078125,81.91148959923764,81.84394622839838,81.84394622839838,296600
2007-03-01,81.88674926757812,81.90179115704893,81.841617860177,81.8942730818079,32500
2007-03-02,81.93187713623047,81.9544428389564,81.89426954468343,81.92435906131415,24800
2007-03-05,81.91686248779297,81.93190438161608,81.90181485497948,81.93190438161608,31200
2007-03-06,81.9243392944336,81.95442306481715,81.89424978506293,81.9243392944336,11000
2007-03-07,81.95442199707031,81.95442199707031,81.9393801120745,81.95442199707031,17600
2007-03-08,81.96200561523438,81.96952943271577,81.94696371926277,81.96952943271577,18100
2007-03-09,81.95442199707031,81.97699343304456,81.92433822707869,81.95442199707031,52900
2007-03-12,81.9770278930664,81.9770278930664,81.94693837143927,81.9770278930664,10800
2007-03-13,82.02970123291016,82.02970123291016,81.97704599318402,81.99208788782404,126800
2007-03-14,82.03718566894531,82.04470948267532,82.01461996674367,82.04470948267532,22400
2007-03-15,82.02970123291016,82.03721931073481,82.00712978246406,82.03721931073481,16600
2007-03-16,82.04472351074219,82.04472351074219,82.02215780468224,82.04472351074219,14500
2007-03-19,82.04472351074219,82.05976540178571,81.9168473504096,82.05224732575861,108600
2007-03-20,82.06725311279297,82.07477692449943,82.05221122836686,82.07477692449943,4100
2007-03-21,82.11992645263672,82.14249215375284,82.07479505040446,82.10488456488866,140500
2007-03-22,82.09737396240234,82.12746348172846,82.08985014782357,82.11993966714968,28400
2007-03-23,82.12744903564453,82.14249092316724,82.10488333486646,82.11992522238917,572400
2007-03-26,82.13500213623047,82.1425202131786,82.10491261146787,82.11243642740602,10600
2007-03-27,82.1575698852539,82.17261177851373,82.1199565436191,82.1199565436191,394600
2007-03-28,82.18009185791016,82.20265755528537,82.15752616053494,82.15752616053494,20100
2007-03-29,82.20267486572266,82.21019867942782,82.18763297730067,82.1951510520175,22800
2007-03-30,82.20267486572266,82.21772249313298,82.1650672751735,82.21772249313298,202600
2007-04-02,82.20645904541016,82.22908375570081,82.13858491453821,82.19891555731478,23000
2007-04-03,82.2215347290039,82.25924641294499,82.19137228664516,82.24416519176562,25000
2007-04-04,82.2668228149414,82.28944753276001,82.25173583373072,82.25927932433606,20800
2007-04-05,82.25923156738281,82.2893997582921,82.24415034892519,82.27431278584042,16400
2007-04-09,82.2668228149414,82.27436055154934,82.24419809712279,82.25927932433606,34400
2007-04-10,82.28941345214844,82.2969569396296,82.26678874369998,82.26678874369998,18000
2007-04-11,82.31204223632812,82.34975392160622,82.30449874847343,82.30449874847343,11700
2007-04-12,82.33460235595703,82.342145837894,82.3195211460739,82.32706462801086,31500
2007-04-13,82.34972381591797,82.34972381591797,82.31955562952355,82.33463684572415,52000
2007-04-16,82.36483001708984,82.36483001708984,82.3271240881538,82.34974879631442,40100
2007-04-17,82.37235260009766,82.37989608556846,82.34972789767872,82.37235260009766,20200
2007-04-18,82.42520141601562,82.42520141601562,82.40257669824578,82.40257669824578,31800
2007-04-19,82.43274688720703,82.43274688720703,82.41011641489605,82.41765990566637,78000
2007-04-20,82.42520141601562,82.44782613378547,82.3950332076567,82.4327449066047,70700
2007-04-23,82.45531463623047,82.46285236779536,82.44022766511358,82.44022766511358,21400
2007-04-24,82.4628677368164,82.4854981977095,82.4477865168823,82.4628677368164,15200
2007-04-25,82.48552703857422,82.50060826378143,82.45535883416315,82.47044005937036,42800
2007-04-26,82.4628677368164,82.50812290460797,82.4628677368164,82.50057941764359,844500
2007-04-27,82.49307250976562,82.51570298069353,82.4779912831442,82.4779912831442,16600
2007-04-30,82.50811767578125,82.5231988947596,82.49303070280862,82.49303070280862,11600
2007-05-01,82.53158569335938,82.53915207443148,82.49376533091427,82.53915207443148,55200
2007-05-02,82.56941223144531,82.57697861255446,82.52401971624819,82.56941223144531,116600
2007-05-03,82.57696533203125,82.59209232035899,82.5391392040267,82.5845259404667,56700
2007-05-04,82.59211730957031,82.59968369175189,82.5618575523026,82.59211730957031,15800
2007-05-07,82.57696533203125,82.59965870025125,82.57696533203125,82.57696533203125,8000
2007-05-08,82.6072006225586,82.61476700073932,82.59964001583339,82.59964001583339,9000
2007-05-09,82.65264129638672,82.65264129638672,82.62238153748166,82.63750853120474,48200
2007-05-10,82.66015625,82.67528900682335,82.63746288622065,82.66015625,42800
