Date,IVV,IJH,IWM,EFA,EEM,AGG,SPTL,HYG,SPBO,IYR,DBC,GLD
2012-01-03,99.52356719970703,14.336217880249023,61.81382369995117,33.38433074951172,28.759424209594727,74.44100952148438,23.226757049560547,40.908084869384766,18.46546173095703,36.0584831237793,23.36789321899414,155.9199981689453
2012-01-04,99.60906219482422,14.29574203491211,61.47579574584961,33.18748474121094,28.597606658935547,74.33950805664062,23.058496475219727,40.839664459228516,18.37114715576172,35.65472412109375,23.545438766479492,156.7100067138672
2012-01-05,99.93556213378906,14.40583610534668,61.82207107543945,32.69538879394531,28.47256088256836,74.44100952148438,23.001293182373047,40.661827087402344,18.329891204833984,35.91337585449219,23.22416877746582,157.77999877929688
2012-01-06,99.71788024902344,14.394501686096191,61.665428161621094,32.24920654296875,28.11216163635254,74.50186157226562,23.105609893798828,40.534175872802734,18.388839721679688,35.85029983520508,23.32562255859375,157.1999969482422
2012-01-09,99.84229278564453,14.473834991455078,61.97871780395508,32.373878479003906,28.406362533569336,74.44100952148438,23.13589859008789,40.588890075683594,18.58922576904297,35.74937057495117,23.35098648071289,156.5
2012-01-10,100.74405670166016,14.672974586486816,62.88568878173828,32.865970611572266,29.024215698242188,74.42070770263672,23.07868003845215,40.73025131225586,18.624591827392578,36.14679718017578,23.52007293701172,158.63999938964844
2012-01-11,100.82177734375,14.702110290527344,63.13304901123047,32.7609977722168,29.046281814575195,74.68457794189453,23.378189086914062,40.68918228149414,18.459558486938477,36.46852111816406,23.452438354492188,159.6699981689453
2012-01-12,101.06278228759766,14.734487533569336,63.32268524169922,32.898780822753906,29.163969039916992,74.62364196777344,23.337804794311523,40.63450622558594,18.630483627319336,36.228797912597656,23.122718811035156,160.3800048828125
2012-01-13,100.67408752441406,14.66325569152832,62.98463821411133,32.54446792602539,28.899169921875,74.79277038574219,23.546457290649414,40.588890075683594,18.71299171447754,36.392822265625,23.07199478149414,159.25999450683594
2012-01-17,100.86843872070312,14.682682991027832,62.959896087646484,32.93159103393555,29.450817108154297,74.81311798095703,23.633956909179688,40.67097091674805,18.754249572753906,36.582069396972656,23.232624053955078,160.5
2012-01-18,101.99569702148438,14.930394172668457,64.08125305175781,33.48275375366211,30.193714141845703,74.71836853027344,23.405101776123047,40.78495788574219,18.754249572753906,36.81547927856445,23.24108123779297,161.60000610351562
2012-01-19,102.57097625732422,15.053427696228027,64.47698974609375,33.896121978759766,30.458513259887695,74.59662628173828,23.061851501464844,40.844234466552734,18.72477912902832,37.04888153076172,23.342533111572266,161.22000122070312
2012-01-20,102.54763793945312,15.029143333435059,64.51823425292969,34.07327651977539,30.436445236206055,74.40715789794922,22.85658073425293,40.844234466552734,18.677635192871094,37.225521087646484,23.173446655273438,162.07000732421875
2012-01-23,102.64093017578125,15.037243843078613,64.435791015625,34.204498291015625,30.730648040771484,74.34627532958984,22.70850372314453,40.98556900024414,18.6953125,37.339073181152344,23.44398307800293,163.16000366210938
2012-01-24,102.54763793945312,15.102007865905762,64.80681610107422,34.01422119140625,30.774795532226562,74.40715789794922,22.738792419433594,41.09044647216797,18.583335876464844,37.54723358154297,23.486257553100586,162.00999450683594
2012-01-25,103.40280151367188,15.2493314743042,65.35923767089844,34.36853790283203,31.120481491088867,74.51539611816406,22.859952926635742,41.450660705566406,18.72477912902832,38.026676177978516,23.680707931518555,166.4199981689453
2012-01-26,102.87417602539062,15.148958206176758,65.28501892089844,34.381656646728516,30.995458602905273,74.66424560546875,22.964258193969727,41.550968170166016,18.801403045654297,38.24746322631836,23.748340606689453,167.27000427246094
2012-01-27,102.81198120117188,15.234755516052246,65.73029327392578,34.44071578979492,31.157251358032227,74.78599548339844,23.085424423217773,41.4005012512207,18.866235733032227,38.34208679199219,23.832887649536133,168.97000122070312
2012-01-30,102.454345703125,15.15705680847168,65.21907806396484,34.03390121459961,30.708600997924805,75.00249481201172,23.421926498413086,41.26827621459961,18.878021240234375,38.007755279541016,23.587711334228516,168.02999877929688
2012-01-31,102.43876647949219,15.121437072753906,65.15308380126953,34.2110595703125,30.97338104248047,75.13109588623047,23.546457290649414,41.37313461303711,18.978227615356445,38.20330047607422,23.528528213500977,169.30999755859375
2012-02-01,103.3017349243164,15.427416801452637,66.55477142333984,34.74909210205078,31.65743064880371,74.99882507324219,23.32113265991211,41.44971466064453,18.998323440551758,38.487186431884766,23.604618072509766,169.55999755859375
2012-02-02,103.5271987915039,15.461427688598633,66.93406677246094,34.82126235961914,31.745691299438477,75.01919555664062,23.3177490234375,41.47722625732422,18.921476364135742,38.56918716430664,23.66379737854004,171.0500030517578
2012-02-03,104.98091125488281,15.720463752746582,68.3934555053711,35.365867614746094,32.27528762817383,74.98527526855469,22.86914825439453,41.59642028808594,18.897836685180664,39.12432861328125,23.942792892456055,167.63999938964844
2012-02-06,104.84877014160156,15.689703941345215,68.17084503173828,35.19526290893555,32.00313186645508,75.03951263427734,23.02767562866211,41.605621337890625,18.868270874023438,38.9350700378418,24.061153411865234,167.17999267578125
2012-02-07,105.12859344482422,15.709125518798828,68.12960815429688,35.41180419921875,32.069339752197266,74.96487426757812,22.778072357177734,41.68812942504883,18.826904296875,38.903541564941406,24.04424476623535,169.6999969482422
2012-02-08,105.43960571289062,15.74798583984375,68.27800750732422,35.53646469116211,32.2973518371582,74.90384674072266,22.83540916442871,41.72480010986328,18.838714599609375,38.928768157958984,24.154151916503906,168.5
2012-02-09,105.58734130859375,15.764172554016113,67.93994903564453,35.628318786621094,32.28264236450195,74.78179931640625,22.65664291381836,41.74315643310547,18.838714599609375,38.64488983154297,24.280967712402344,168.02000427246094
2012-02-10,104.8565673828125,15.59255599975586,67.00827026367188,34.95249557495117,31.569175720214844,74.88353729248047,22.95347785949707,41.38092803955078,18.850540161132812,38.323177337646484,24.05270004272461,167.13999938964844
2012-02-13,105.58734130859375,15.756080627441406,67.87401580810547,35.352745056152344,32.08404541015625,74.91065979003906,22.950101852416992,41.50014877319336,18.880096435546875,38.75844192504883,24.111881256103516,167.50999450683594
2012-02-14,105.47071075439453,15.749600410461426,67.56893920898438,35.09028625488281,31.819246292114258,74.97164916992188,23.142372131347656,41.50014877319336,18.880096435546875,38.3736457824707,24.103425979614258,167.1199951171875
2012-02-15,105.00424194335938,15.705893516540527,67.00827026367188,35.12965393066406,31.907512664794922,74.94454193115234,23.08164405822754,41.3671760559082,18.880096435546875,38.184383392333984,24.187969207763672,168.11000061035156
2012-02-16,106.13151550292969,15.940642356872559,68.26976776123047,35.615203857421875,32.25321578979492,74.93098449707031,22.896135330200195,41.54141616821289,18.86236572265625,38.499794006347656,24.29787826538086,168.0
2012-02-17,106.3880386352539,15.932549476623535,68.26154327392578,35.77267837524414,32.312068939208984,74.8360366821289,22.859033584594727,41.52766799926758,18.86236572265625,38.56288146972656,24.255603790283203,167.35000610351562
2012-02-21,106.46574401855469,15.864545822143555,67.7998275756836,35.77923583984375,32.17966079711914,74.72073364257812,22.717357635498047,41.68354797363281,18.850540161132812,38.08345413208008,24.636051177978516,171.02000427246094
2012-02-22,106.1081314086914,15.803021430969238,67.2638931274414,35.674251556396484,32.23850631713867,74.93098449707031,22.845537185668945,41.81651306152344,18.844635009765625,37.77434539794922,24.86431884765625,172.94000244140625
2012-02-23,106.61347198486328,15.930927276611328,68.26976776123047,35.969512939453125,32.17966079711914,74.99200439453125,22.90962028503418,41.96782684326172,18.820981979370117,38.215919494628906,24.94040870666504,173.02000427246094
2012-02-24,106.79226684570312,15.945501327514648,68.13784790039062,36.18604278564453,32.5032958984375,75.01241302490234,23.014190673828125,42.09621047973633,18.832801818847656,38.323177337646484,25.092588424682617,172.22999572753906
2012-02-27,107.02552795410156,15.937402725219727,68.02242279052734,36.0023193359375,32.17966079711914,75.249755859375,23.226699829101562,42.105369567871094,18.832801818847656,38.279014587402344,24.88968276977539,171.6999969482422
2012-02-28,107.3208999633789,15.91312026977539,67.84101867675781,36.336952209472656,32.62833786010742,75.1954574584961,23.149112701416016,42.187904357910156,18.99241828918457,37.98881530761719,24.881229400634766,173.49000549316406
2012-02-29,106.75341796875,15.806267738342285,66.82688903808594,35.86452865600586,32.60627365112305,75.12086486816406,23.024307250976562,42.24292755126953,18.886003494262695,37.93834686279297,24.78822898864746,164.2899932861328
2012-03-01,107.44529724121094,15.945501327514648,67.17317199707031,36.27134323120117,32.915191650390625,74.96927642822266,22.84177017211914,42.31537628173828,18.92987060546875,38.14023208618164,25.17713165283203,166.61000061035156
2012-03-02,107.16544342041016,15.822458267211914,66.16728973388672,35.936710357666016,32.83428955078125,75.13243865966797,22.970216751098633,42.140098571777344,18.983238220214844,38.12760925292969,24.923500061035156,166.33999633789062
2012-03-05,106.72232818603516,15.754450798034668,66.24148559570312,35.74642562866211,32.26792907714844,75.023681640625,22.899227142333984,41.9049072265625,18.98915672302246,38.436702728271484,24.80514144897461,165.64999389648438
2012-03-06,105.07418823242188,15.451704978942871,64.9222183227539,34.60475540161133,31.186687469482422,75.17327117919922,23.075010299682617,41.3468132019043,18.864656448364258,37.919437408447266,24.399330139160156,162.6999969482422
2012-03-07,105.85938262939453,15.603887557983398,65.53238677978516,35.0312385559082,31.56182289123535,75.1052474975586,23.010784149169922,41.46210479736328,18.959514617919922,38.08345413208008,24.509235382080078,163.6300048828125
2012-03-08,106.90110778808594,15.791692733764648,66.38165283203125,35.78579330444336,32.22379684448242,74.93524169921875,22.807947158813477,41.784969329833984,18.953588485717773,37.99513244628906,24.712142944335938,165.27999877929688
2012-03-09,107.3208999633789,15.9422607421875,67.2803726196289,35.667686462402344,32.20908737182617,74.92167663574219,22.720069885253906,41.83109664916992,18.90616798400879,38.1717643737793,24.779775619506836,166.3800048828125
2012-03-12,107.33647155761719,15.885600090026855,67.14845275878906,35.575836181640625,31.85603141784668,74.98970031738281,22.8045711517334,41.83109664916992,18.918025970458984,38.436702728271484,24.745960235595703,165.07000732421875
2012-03-13,109.27220916748047,16.193206787109375,68.48413848876953,36.15323257446289,32.723960876464844,74.73805236816406,22.456384658813477,42.13547134399414,18.83501625061035,39.12432861328125,24.855865478515625,162.3000030517578
2012-03-14,109.1323013305664,16.070167541503906,67.92346954345703,35.831722259521484,32.20908737182617,74.3301010131836,21.935794830322266,42.02939987182617,18.686809539794922,39.029693603515625,24.686779022216797,159.57000732421875
2012-03-15,109.78528594970703,16.2191162109375,68.49239349365234,36.17291259765625,32.46652603149414,74.29609680175781,21.983118057250977,41.88640594482422,18.704591751098633,39.004478454589844,24.703685760498047,161.0800018310547
2012-03-16,109.93302917480469,16.198068618774414,68.4346694946289,36.422245025634766,32.42974090576172,74.30294036865234,21.989887237548828,41.73423385620117,18.62158966064453,39.23787307739258,25.00804328918457,161.3000030517578
2012-03-19,110.38388061523438,16.248254776000977,69.01184844970703,36.61253356933594,32.3046875,74.06492614746094,21.78030776977539,41.89103317260742,18.657155990600586,39.47128677368164,24.96577262878418,161.58999633789062
2012-03-20,110.04964447021484,16.13006591796875,68.3934555053711,36.17948532104492,31.745691299438477,74.1737289428711,21.81072235107422,41.85874557495117,18.586029052734375,39.37664794921875,24.661413192749023,160.1300048828125
2012-03-21,109.84747314453125,16.112255096435547,68.37698364257812,35.94326400756836,31.804548263549805,74.35053253173828,22.03384017944336,41.724998474121094,18.704591751098633,39.288352966308594,24.60223388671875,160.2100067138672
2012-03-22,109.09339141845703,15.945501327514648,67.71736145019531,35.69393539428711,31.31908416748047,74.41849517822266,22.111589431762695,41.82648849487305,18.6927433013916,38.8215217590332,24.407785415649414,159.57000732421875
2012-03-23,109.46656036376953,16.05721664428711,68.37980651855469,35.94326400756836,31.5544490814209,74.5884780883789,22.26032066345215,41.73885726928711,18.704591751098633,38.97923278808594,24.644506454467773,161.52999877929688
2012-03-26,110.93623352050781,16.292253494262695,69.80235290527344,36.402565002441406,32.106117248535156,74.53409576416016,22.219758987426758,41.99250030517578,18.704591751098633,39.38202667236328,24.754413604736328,164.39999389648438
2012-03-27,110.63163757324219,16.2257080078125,69.3143539428711,36.17291259765625,31.93693733215332,74.6156997680664,22.34144401550293,42.066314697265625,18.734235763549805,39.36293411254883,24.65296173095703,163.24000549316406
2012-03-28,110.1084976196289,16.138042449951172,68.90911865234375,35.923580169677734,31.39999008178711,74.60205841064453,22.324541091918945,41.92793655395508,18.734235763549805,39.27384948730469,24.416236877441406,161.50999450683594
2012-03-29,109.88201141357422,16.116947174072266,68.71062469482422,35.69393539428711,31.363218307495117,74.8060302734375,22.432727813720703,41.923309326171875,18.811298370361328,39.312034606933594,24.078062057495117,161.27999877929688
2012-03-30,110.2724380493164,16.1055850982666,68.48731231689453,36.01544952392578,31.59124183654785,74.69044494628906,22.14200210571289,41.840328216552734,18.757946014404297,39.64292907714844,24.348602294921875,162.1199951171875
2012-04-02,111.1392593383789,16.186744689941406,69.33094024658203,36.435367584228516,32.025203704833984,74.6993408203125,22.335159301757812,41.912254333496094,18.709184646606445,39.89744567871094,24.661413192749023,162.94000244140625
2012-04-03,110.71755981445312,16.23381233215332,68.86775207519531,35.79891586303711,31.841310501098633,74.37908172607422,21.93191146850586,41.87510299682617,18.63187026977539,39.712913513183594,24.551509857177734,159.88999938964844
2012-04-04,109.53842163085938,16.0130615234375,67.76779174804688,34.9984245300293,31.267589569091797,74.53583526611328,22.12505531311035,41.72199630737305,18.786495208740234,39.312034606933594,24.17106056213379,157.2100067138672
2012-04-05,109.56180572509766,15.946502685546875,67.47010040283203,34.78845977783203,31.436763763427734,74.70616149902344,22.29788589477539,41.619911193847656,18.840009689331055,39.14021682739258,24.26405906677246,158.30999755859375
2012-04-09,108.3045654296875,15.746857643127441,66.36184692382812,34.63755798339844,30.97338104248047,75.03324127197266,22.762130737304688,41.40647888183594,18.851917266845703,38.764793395996094,24.154151916503906,159.3699951171875
2012-04-10,106.51628875732422,15.380003929138184,64.79871368408203,33.896121978759766,30.370241165161133,75.04005432128906,23.012910842895508,41.20232391357422,18.82218360900879,38.0139274597168,23.832887649536133,161.10000610351562
2012-04-11,107.25032806396484,15.558560371398926,65.71672058105469,34.36853790283203,30.70123291015625,75.046875,22.78926658630371,41.45286178588867,18.851917266845703,38.46572494506836,23.892066955566406,161.07000732421875
2012-04-12,108.78094482421875,15.837751388549805,66.6595687866211,34.9984245300293,31.488252639770508,74.97189331054688,22.687599182128906,41.824092864990234,18.727027893066406,39.0129508972168,24.204877853393555,162.6999969482422
2012-04-13,107.44554138183594,15.63972282409668,65.78290557861328,34.329166412353516,31.010154724121094,75.2036361694336,23.016294479370117,41.68953323364258,18.923267364501953,38.809329986572266,23.959701538085938,160.85000610351562
2012-04-16,107.35965728759766,15.649463653564453,65.89041137695312,34.5785026550293,30.85569953918457,75.21722412109375,23.070528030395508,41.75448989868164,18.964908599853516,39.261131286621094,23.722978591918945,160.4600067138672
2012-04-17,108.96048736572266,15.901062965393066,66.84152221679688,35.12965393066406,31.208763122558594,75.23088836669922,22.95868492126465,41.9354362487793,18.964908599853516,39.59838104248047,23.832887649536133,160.25
2012-04-18,108.6325454711914,15.844244003295898,66.33698272705078,34.9459342956543,31.061656951904297,75.32627868652344,23.02646827697754,41.921470642089844,18.988683700561523,39.38840103149414,23.604618072509766,159.30999755859375
2012-04-19,107.98439025878906,15.793928146362305,65.95658874511719,34.7359733581543,30.921892166137695,75.2717514038086,23.050186157226562,41.84263229370117,18.953012466430664,39.36928939819336,23.613073348999023,159.42999267578125
2012-04-20,108.07807159423828,15.82151985168457,66.33698272705078,35.07059860229492,31.135204315185547,75.285400390625,23.050186157226562,41.907588958740234,19.024383544921875,39.78290557861328,23.706071853637695,159.5399932861328
2012-04-23,107.20348358154297,15.660825729370117,65.41900634765625,34.36853790283203,30.53942108154297,75.3603744506836,23.185741424560547,41.81943130493164,19.03032112121582,39.413841247558594,23.66379737854004,159.07000732421875
2012-04-24,107.60175323486328,15.698161125183105,65.91521453857422,34.64411926269531,30.605615615844727,75.2513427734375,23.060361862182617,41.916839599609375,19.024383544921875,39.916542053222656,23.66379737854004,159.3000030517578
2012-04-25,109.11669158935547,15.964363098144531,66.94076538085938,35.11652755737305,30.8851261138916,75.285400390625,22.995969772338867,42.22309494018555,19.012481689453125,40.35559844970703,23.799068450927734,159.6199951171875
2012-04-26,109.84293365478516,16.12506675720215,67.6023941040039,35.32648849487305,31.07635498046875,75.40122985839844,23.080684661865234,42.25092315673828,19.042217254638672,40.52739715576172,23.849794387817383,161.02999877929688
2012-04-27,110.0381851196289,16.19810676574707,68.1317138671875,35.470855712890625,31.120481491088867,75.39442443847656,23.104413986206055,42.232364654541016,18.93516731262207,40.72467041015625,23.92588233947754,161.3800048828125
2012-04-30,109.54621124267578,16.047143936157227,67.37909698486328,35.26744079589844,31.054296493530273,75.36717987060547,23.11795997619629,42.31588363647461,19.03626251220703,40.66739273071289,24.018882751464844,161.8800048828125
2012-05-01,110.2724380493164,16.134803771972656,67.44525146484375,35.41180419921875,31.260234832763672,75.3398208618164,23.004188537597656,42.34809112548828,19.05535888671875,41.02374267578125,24.018882751464844,161.32000732421875
2012-05-02,109.98348236083984,16.168893814086914,67.62721252441406,35.13622283935547,31.201396942138672,75.41495513916016,23.140043258666992,42.51138687133789,19.085168838500977,40.96009826660156,23.706071853637695,160.58999633789062
2012-05-03,109.16354370117188,15.902681350708008,66.67611694335938,34.82783508300781,30.966026306152344,75.49696350097656,23.1434383392334,42.48339080810547,19.07921600341797,40.82011795043945,23.44398307800293,158.97000122070312
2012-05-04,107.36746215820312,15.649463653564453,65.41072845458984,34.29636001586914,30.421728134155273,75.57200622558594,23.303071975708008,42.399410247802734,19.13289451599121,40.50831985473633,23.029722213745117,159.47000122070312
2012-05-07,107.41432189941406,15.719260215759277,65.58441925048828,34.545692443847656,30.532058715820312,75.59930419921875,23.333637237548828,42.46939468383789,19.01957130432129,40.73739242553711,22.978994369506836,159.0800018310547
2012-05-08,106.97701263427734,15.691659927368164,65.54307556152344,34.01422119140625,30.046613693237305,75.65396118164062,23.435529708862305,42.46007537841797,19.07921600341797,40.69921875,22.89444923400879,156.0
2012-05-09,106.33665466308594,15.625112533569336,65.1708984375,33.62053680419922,29.656774520874023,75.67442321777344,23.432125091552734,42.31076431274414,19.12691879272461,40.60377502441406,22.716909408569336,154.47000122070312
2012-05-10,106.5865478515625,15.63972282409668,65.41900634765625,33.77802276611328,29.781816482543945,75.59930419921875,23.39815902709961,42.26411437988281,19.12691879272461,40.56557846069336,22.725364685058594,154.77000427246094
2012-05-11,106.22734069824219,15.646215438842773,65.25360870361328,33.56804656982422,29.399335861206055,75.65396118164062,23.57138442993164,42.37141418457031,19.09113121032715,40.73739242553711,22.556276321411133,153.55999755859375
2012-05-14,105.12623596191406,15.472525596618652,64.38519287109375,32.9250373840332,28.729999542236328,75.82466125488281,23.873668670654297,42.05881118774414,19.198488235473633,40.24105453491211,22.260374069213867,151.3300018310547
2012-05-15,104.50933837890625,15.399491310119629,64.26942443847656,32.511661529541016,28.479915618896484,75.78369903564453,23.921228408813477,41.853511810302734,19.246212005615234,40.04379653930664,22.302642822265625,149.74000549316406
2012-05-16,104.11885070800781,15.26962947845459,63.80626678466797,32.19015121459961,28.075374603271484,75.77003479003906,23.989147186279297,41.44290542602539,19.22235679626465,39.553829193115234,22.277280807495117,149.4600067138672
2012-05-17,102.57266998291016,14.86219310760498,62.35896301269531,31.79647445678711,27.692903518676758,75.81785583496094,24.352569580078125,40.86897659301758,19.22235679626465,38.45935821533203,22.22655487060547,152.8000030517578
2012-05-18,101.69023895263672,14.677151679992676,61.771759033203125,31.56683349609375,27.4281005859375,75.79733276367188,24.40011215209961,40.86897659301758,19.264097213745117,38.06483459472656,22.20964813232422,154.5500030517578
2012-05-21,103.41604614257812,15.021269798278809,63.227317810058594,32.26233673095703,28.082721710205078,75.78369903564453,24.332183837890625,41.293582916259766,19.198488235473633,38.84751510620117,22.505550384521484,154.64999389648438
2012-05-22,103.59564971923828,15.061850547790527,62.846927642822266,32.14423370361328,27.78851318359375,75.59930419921875,24.070663452148438,41.288936614990234,19.18656349182129,38.93024444580078,22.184282302856445,152.0800018310547
2012-05-23,103.65813446044922,15.146262168884277,63.25213623046875,31.881776809692383,27.597272872924805,75.68807983398438,24.284648895263672,41.246910095214844,19.18060302734375,39.09568405151367,21.939104080200195,151.6199951171875
2012-05-24,103.7362289428711,15.207942008972168,63.38447189331055,31.67180633544922,27.457534790039062,75.6266098022461,24.16915512084961,41.256248474121094,19.120960235595703,39.216583251953125,21.947559356689453,151.41000366210938
2012-05-25,103.51757049560547,15.17385482788086,63.3431282043457,31.560272216796875,27.325124740600586,75.7426986694336,24.25408172607422,41.125614166259766,19.168676376342773,39.10203170776367,22.023649215698242,152.67999267578125
2012-05-29,104.75920104980469,15.367016792297363,64.26114654541016,31.96050262451172,28.097444534301758,75.70178985595703,24.162384033203125,41.57821273803711,19.234275817871094,39.636566162109375,21.93065071105957,151.02000427246094
