Date,Close,High,Low,Open,Volume
1998-12-22,16.716148376464844,16.737017475561554,16.570064682787873,16.570064682787873,5700
1998-12-23,17.091787338256836,17.091787338256836,16.820489126538472,16.820489126538472,18100
1998-12-24,17.19613265991211,17.19613265991211,17.039614462158056,17.112656287776613,4900
1998-12-28,16.945711135864258,17.19614036447309,16.945711135864258,17.143967608512916,15500
1998-12-29,17.321346282958984,17.321346282958984,16.945702628629753,16.945702628629753,5300
1998-12-30,17.17525863647461,17.38394950690565,17.17525863647461,17.363080419862545,17300
1998-12-31,17.36309242248535,17.36309242248535,17.196139610730683,17.23787781366935,6600
1999-01-04,17.321346282958984,17.613513569659496,17.217000823423085,17.530037202030776,249200
1999-01-05,17.5926456451416,17.5926456451416,17.363085618929787,17.363085618929787,4400
1999-01-06,17.884811401367188,17.884811401367188,17.6761204865321,17.717858669499115,38500
1999-01-07,17.801342010498047,17.822211110158655,17.592651013891974,17.71786561185562,15900
1999-01-08,18.020465850830078,18.020465850830078,17.843078520509223,17.843078520509223,24400
1999-01-11,18.062204360961914,18.197853498277052,17.905686125598294,18.010031615840706,7700
1999-01-12,17.989160537719727,18.197851495233877,17.96829144196831,18.114375112228217,270700
1999-01-13,17.822206497192383,17.947421062746425,17.217002763681165,17.217002763681165,7100
1999-01-14,17.676122665405273,17.93698634110488,17.61351538323737,17.884813605964958,12200
1999-01-15,17.916109085083008,17.96828179645483,17.73872186641882,17.73872186641882,7700
1999-01-19,18.427406311035156,18.469144490675102,18.11436996373558,18.218715412835436,22700
1999-01-20,18.53175926208496,18.782188441302324,18.42741377074439,18.53175926208496,25800
1999-01-21,17.884811401367188,18.490015054388948,17.84307321840017,18.490015054388948,23200
1999-01-22,17.811779022216797,17.947428188759748,17.63439165058371,17.759606265854124,67100
1999-01-25,17.957862854003906,17.968297405342664,17.82221368660004,17.82221368660004,495300
1999-01-26,18.041336059570312,18.051770609055314,17.811775970900243,17.989163312145298,187400
1999-01-27,17.86394500732422,18.093505048306188,17.86394500732422,18.093505048306188,6800
1999-01-28,18.19784927368164,18.26045655329293,18.03089652805153,18.03089652805153,25800
1999-01-29,18.19784927368164,18.218718366885405,17.968289248440243,18.218718366885405,13800
1999-02-01,18.302188873291016,18.343927046320186,18.135236181174335,18.281319786776432,34000
1999-02-02,18.03089714050293,18.062200781371857,17.7804680135515,18.01002804659031,141700
1999-02-03,18.375240325927734,18.375240325927734,17.989162022657247,17.989162022657247,38900
