Date,Close,High,Low,Open,Volume
2000-01-03,5.478074550628662,5.774270553726392,5.431306319973745,5.774270553726392,353400
2000-01-04,5.312826633453369,5.481190857752948,5.312826633453369,5.481190857752948,187000
2000-01-05,5.44689416885376,5.471837013905877,5.359594211171348,5.431304510098575,546800
2000-01-06,5.437544345855713,5.437544345855713,5.375187185926175,5.437544345855713,69000
2000-01-07,5.484307765960693,5.484307765960693,5.421950660953722,5.44689350295651,92400
2000-01-10,5.503020286560059,5.518609197480427,5.471841703523446,5.481194897836492,31000
2000-01-11,5.443777561187744,5.478074363992265,5.403245806450165,5.478074363992265,51400
2000-01-12,5.387657642364502,5.431307646411437,5.359597306075018,5.359597306075018,73400
2000-01-13,5.337772369384766,5.43754381554149,5.334654892290231,5.43754381554149,279200
2000-01-14,5.381421089172363,5.381421089172363,5.319063950248002,5.344006805817747,91400
2000-01-18,5.359596252441406,5.443778005956377,5.359596252441406,5.375185155938599,92000
2000-01-19,5.362714767456055,5.39701157970622,5.344007622918417,5.344007622918417,52000
2000-01-20,5.387657642364502,5.418836216683741,5.359597306075018,5.3720687358027135,225000
2000-01-21,5.562258720397949,5.568494436452207,5.462487263529825,5.499901559855371,402200
2000-01-24,5.487429618835449,5.57472963549874,5.487429618835449,5.57472963549874,128600
2000-01-25,5.359596252441406,5.481192287784256,5.312828019558801,5.4188351514044575,113800
2000-01-26,5.334652423858643,5.378302411354641,5.319062762012385,5.3471238488575,62800
2000-01-27,5.300358295440674,5.375186883141012,5.300358295440674,5.350244020574233,37400
2000-01-28,5.272296905517578,5.312828668517621,5.234882619119567,5.294121525318616,56800
2000-01-31,5.515491008758545,5.515491008758545,5.23488379760283,5.24111951340629,829600
2000-02-01,5.474957466125488,5.506136039394995,5.450014607509883,5.506136039394995,46400
2000-02-02,5.44689416885376,5.496779858957995,5.44689416885376,5.487425911465839,29000
2000-02-03,5.437544345855713,5.509255460372581,5.425072913869806,5.453134016435998,192200
2000-02-04,5.409483909606934,5.487429977553839,5.409483909606934,5.487429977553839,38600
2000-02-07,5.39389181137085,5.412598950601037,5.368948959063932,5.384538622353477,46000
2000-02-08,5.406364440917969,5.487428728959415,5.406364440917969,5.459368394465952,65200
2000-02-09,5.406364440917969,5.437543013241602,5.381421583059063,5.418835869847422,32600
2000-02-10,5.328419208526611,5.397012078166419,5.325300970217846,5.344008116483248,166400
2000-02-11,5.2348833084106445,5.3315365137342905,5.209940447527677,5.3315365137342905,185000
2000-02-14,5.2411208152771,5.272299402039022,5.213059706593387,5.234885097924716,23200
2000-02-15,5.228647232055664,5.250471853223017,5.206821849692659,5.231764708852864,52200
2000-02-16,5.206821918487549,5.241118730883802,5.1787615821593995,5.21617587139404,308000
2000-02-17,5.175643444061279,5.20370454212692,5.163172014075589,5.20370454212692,21400
2000-02-18,4.9854559898376465,5.125759238017547,4.98233775082241,5.125759238017547,29800
2000-02-22,4.966747760772705,5.004162053655378,4.941804898850923,5.001043815317287,64000
2000-02-23,4.863856792449951,4.976099641506488,4.842032174620059,4.976099641506488,103800
2000-02-24,4.7017292976379395,5.088343643067054,4.6643150061447995,4.898154708574779,209400
2000-02-25,4.676784515380859,4.776555918375651,4.676784515380859,4.7173170284451915,14800
2000-02-28,4.81085205078125,4.854502033530809,4.664312442381512,4.692373526175302,391000
2000-02-29,4.845149517059326,4.851385230723495,4.795263807745974,4.817089186168324,18200
2000-03-01,5.057165145874023,5.07275481483771,5.016633376720736,5.01975085379604,92200
2000-03-02,5.188114166259766,5.213057022828322,5.107049882411957,5.107049882411957,211200
2000-03-03,5.2348833084106445,5.309711891059546,5.2348833084106445,5.291004745397321,91200
2000-03-06,5.088345527648926,5.169409855908039,5.088345527648926,5.169409855908039,158400
2000-03-07,5.029102802276611,5.197467049499587,4.99792423797606,5.169405961031383,163800
2000-03-08,5.063399791717529,5.172525167826463,4.972982318891782,4.972982318891782,49800
2000-03-09,5.103930950164795,5.12263808725545,5.01663097707507,5.01663097707507,313400
2000-03-10,5.103930950164795,5.160052361436761,5.06339843920403,5.097695237801243,45200
2000-03-13,5.1195197105407715,5.138226847120093,5.019748315451061,5.019748315451061,372400
2000-03-14,5.085224628448486,5.113284957986036,5.038456397625265,5.072753201721691,340000
2000-03-15,5.113286018371582,5.1787614028631825,5.032221727836423,5.038457442492973,427000
2000-03-16,5.312826633453369,5.406362313619802,5.197466341845759,5.206819529264746,106000
2000-03-17,5.355574607849121,5.446666102717972,5.339868728154875,5.35871532366601,125600
2000-03-20,5.333585262298584,5.390125035397156,5.3021742772438225,5.377560641375251,122600
2000-03-21,5.299032688140869,5.34614877451672,5.267621708267092,5.289609010743923,179400
2000-03-22,5.176530361175537,5.289609907900245,5.157683770054753,5.251916725658676,97000
2000-03-23,5.264479637145996,5.283326222959168,5.167105993879378,5.214222074977538,14200
2000-03-24,5.2142252922058105,5.305317563275739,5.201660893911339,5.305317563275739,48600
2000-03-27,5.286468505859375,5.295891416760419,5.245633846969098,5.245633846969098,66000
2000-03-28,5.261340618133545,5.29903380190452,5.242494026248057,5.295892319822046,35200
2000-03-29,5.355574607849121,5.386985600367679,5.302175537132605,5.3273043311474515,25800
2000-03-30,5.343008995056152,5.399548768724102,5.336726797981936,5.352431907232598,67200
2000-03-31,5.374420166015625,5.390125275808613,5.2958923164413285,5.38384307851746,118800
2000-04-03,5.40897274017334,5.421537136782337,5.311599049888566,5.3555744380200565,161800
2000-04-04,5.48435640335083,5.641411283171873,5.434098841808096,5.537755445924749,129000
2000-04-05,5.556602954864502,5.657118094652942,5.556602954864502,5.616283435679059,22000
2000-04-06,5.591153144836426,5.6288463121049865,5.5597421721126254,5.606859014633052,258400
